noun_phrase,frequency
Primality,4
Binomial,4
Message,4
Evidence,4
Collision,4
Ambient Assisted,4
Applied,4
Human Factors,4
Fuzzy Sets,4
Wireless,4
Arrays,4
Noise,4
Gates,4
Components,4
Internet,4
Operational,4
Impact,4
the Web,4
Mobility,4
Serious Games,4
Gamification,4
Foundations,4
Online,4
Methodology,4
UML,4
Hardware,4
Compression,4
Markov,4
A Survey,4
Computing Systems,4
User Interfaces,4
Calibration,4
Medical Image,4
Ad,4
Real,4
Information Theory,4
Neuromodulation,4
Small Networks,4
Computational Neuroscience,4
Ion Channels,4
Gamma,4
Coordination,4
Hippocampus,4
Effect,4
General,4
Network Models,4
Epilepsy,4
Maps,4
Adaptation,4
Neuromorphic Sensors,4
Density,4
Topology,4
E-Mail,4
HIPAA,4
Mobile Devices,4
Voice Communications,4
Firewall Architectures,4
Hackers,4
IEEE,4
Steganography,4
Tokens,4
ATM,4
Resource Management,4
Malicious Code,4
IT,4
Mobile Agents,4
E-Learning,4
Metadata,4
Knowledge Discovery,4
Clinical Trials,4
Bayes ',4
Regression Models,4
Coefficient,4
Component Analysis,4
Mode,4
Distributions,4
Causal,4
Mixed Membership,4
Stochastic,4
Uncertainty,4
Vector Machines,4
Stream Processing,4
Processes,4
Image Processing,4
Mobile Environments,4
Real-Time Tasks,4
Parallel Algorithms,4
Dynamic Systems,4
Collaborative,4
Text,4
Continuous Media,4
Video Analysis,4
LOMSS,4
JPEG,4
Coding,4
MPEG-4,4
Image Zooming,4
Inpainting,4
Image Secret,4
IP,4
Query Processing,4
Deep Belief,4
Propagation,4
Gaussian,4
Absolute Error,4
Cost,4
Classifier Systems,4
Genetic,4
Mixture,4
Generalization,4
Evolutionary Learning,4
Corpus,4
Greedy,4
Inductive Inference,4
Specificity,4
Bandit,4
Demonstration,4
Values,4
Side Information,4
Regularization,4
Feature Selection,4
Relational,4
Concept,4
Posterior,4
Function Approximation,4
Prediction,4
Generality,4
Word,4
Holdout,4
Regression Tree,4
Minimum,4
Example,4
Instance-Based,4
Differential,3
SQL/Data System,3
Application Development,3
Operation,3
PROTOS-L,3
szlig,3
Logic Programs,3
Operations,3
the Treatment,3
Programmieren,3
Change,3
Transactions,3
Consistency,3
A Study,3
Prolog,3
Natural Language,3
Results,3
Deductive,3
Circuits,3
Communication Protocols,3
Design Problems,3
OBDD 's,3
a Class,3
Queue,3
Utility,3
Efficiency,3
Customer,3
Motion,3
The Use,3
Computational Convexity,3
Stochastic Modeling,3
Differences,3
Finite,3
Case,3
Multipliers,3
Inverse Problems,3
Reduction,3
OBDDs,3
Global,3
Automatic,3
Constraint,3
OR,3
Batch,3
Case Study,3
Inequalities,3
Script,3
Class,3
Separation,3
Project,3
Logic Programming,3
Sources,3
Higher Order,3
PGP,3
Public Key,3
Assumption,3
Index Calculus,3
generator,3
Smoothness,3
management,3
Hash Algorithm,3
Card,3
Maurer 's,3
Authorization,3
Fingerprint,3
Dictionary Attack,3
Bluetooth,3
Multiparty Computation,3
Shamir 's,3
Socket Layer,3
Pseudorandom,3
Strong,3
Denial,3
Lattice,3
TCP,3
Field Sieve,3
Mail,3
Base,3
ISO/IEC,3
Worms,3
Cyclic Codes,3
Firewall,3
Secure,3
Physical,3
Key Management,3
Geometry,3
Voice,3
Commitment,3
SHA,3
Agreement,3
Secrecy,3
MD5,3
Discrete,3
Cookie,3
Integer,3
Shortest,3
Block Ciphers,3
Monitoring,3
Type,3
Variation,3
Cellular Networks,3
Asynchronous,3
Aggregation,3
ECC,3
Variants,3
Paradox,3
Database,3
Cards,3
Integrity,3
Kerberos,3
Application Security,3
Identity Verification,3
Modelling,3
the Art,3
Users,3
Them,3
Data Analysis,3
Social Network,3
Methodologies,3
Investigation,3
Ubiquitous Computing,3
Context,3
Field-Programmable Gate,3
Diagrams,3
Passive,3
Human,3
Interface,3
Advances,3
Social,3
Reliability,3
MMORPGs,3
Semiotics,3
Platforms,3
Science,3
Smart,3
Cultural Heritage,3
Spatiotemporal Data,3
Equation,3
Graphics,3
Game Theory,3
Mesh,3
Indirect,3
Agent,3
Graphical,3
LCD,3
Multiagent Systems,3
Surface,3
Information Flow,3
Multiprocessors,3
Computing Pre-University,3
Project Management,3
Content-Based,3
Kernel,3
Intelligence,3
Somatosensory Cortex,3
Perception,3
Recording,3
Olfactory Computation,3
Statistical Analysis,3
Reconstruction,3
Rhythm Generation,3
Connectivity,3
the,3
Olfaction,3
Slow Oscillations,3
Physiology,3
Length,3
Kinetic Models,3
Validation,3
Deterministic,3
Cell,3
Phase Transitions,3
Synapses,3
Model-Based,3
Process,3
Requirements Engineering,3
ML,3
Economics,3
Unit,3
Practice,3
Personnel,3
Multimedia Streaming,3
Mobile Networks,3
Coding Techniques,3
Effective Methods,3
Access Controls,3
Video Communication,3
Multimedia Applications,3
Transformation,3
Risk Analysis,3
Java,3
IP Networks,3
Phishing,3
Spam,3
Mobile Systems,3
3G,3
Data Centers,3
Cellular Systems,3
Technology Convergence,3
Operations Security,3
IEEE 802.15.4,3
Routing,3
Information Assurance,3
Edge,3
Accountability,3
Wireless Communications,3
Best,3
Remote Access,3
AI,3
Training,3
Connections,3
Context-Aware,3
Digital Camera,3
Face Recognition,3
Faces,3
Guidelines,3
Interpolation,3
Algebra,3
Second Edition,3
Packing,3
Searching,3
Competitive,3
Biological,3
Portals,3
Scales,3
Copulas,3
Its Application,3
Robustness,3
Principal,3
Probability Theory,3
Multiple,3
Estimators,3
Forecasting,3
Degrees,3
Solution,3
Linear Regression,3
Experimental Design,3
Their Applications,3
Margin,3
Median,3
Approximations,3
Measure,3
Fuzzy Logic,3
Discretization,3
Attribute Values,3
Medicine,3
its Applications,3
Kohonen Maps,3
Fusion,3
Bayesian Methods,3
Spam Filtering,3
Dependency,3
Automated,3
Modularity,3
Functional,3
Evolutionary Robotics,3
Symbolic,3
Constraints,3
Complex,3
Partitioning,3
Related Problems,3
The Evolution,3
Experience,3
the Design,3
Designing,3
Stochastic Local,3
A Look,3
Video Content,3
Security Issues,3
Physical Design,3
Part,3
Content Distribution,3
Feedback,3
Index,3
Spatial Data,3
The Reality,3
Image Data,3
Multidimensional,3
Causality,3
Content Adaptation,3
Stereoscopic,3
Collaborative Computing,3
Multimedia Synchronization,3
Interfaces,3
H. 264,3
Preferences,3
Recommender Systems,3
Semantic Data,3
Scale,3
Rank,3
Specific Hypothesis,3
ECOC,3
Deduplication,3
Topic,3
General Hypothesis,3
Category,3
Output Codes,3
Sentiment,3
Distance Metrics,3
Relational Databases,2
DOM,2
ADTs,2
Modification,2
Compounds,2
Database Support,2
Knowledge-Based Systems,2
EFTA,2
und,2
zur,2
Mathematische Grundlagen,2
Ein Kompendium,2
Systeme,2
Correctness Proof,2
Ereignisse,2
Reference,2
Built-in Predicates,2
Negation,2
Understanding,2
Software Development,2
Database Systems,2
Knowledge Representation,2
Persistence,2
Deductive Retrieval,2
A Knowledge,2
W 's,2
Newton 's,2
A Decomposition,2
BMAP/G/1-Queues,2
tele-TASK,2
Numerical Solution,2
Random Permutations,2
Approximation Results,2
A Comparison,2
Numerical Methods,2
Comparative Study,2
Quasi-Newton Methods,2
Fluid,2
Simultaneous Pseudo-Timestepping,2
Multiple-Valued Functions,2
Proximal Methods,2
View,2
Markov Chains,2
Linear Sifting,2
Convergence Results,2
Proximal Method,2
Nonconvex Programming,2
Discrete Time,2
A Note,2
Decision Trees,2
Heterogeneous Servers,2
Aggregation Method,2
Programs,2
Manipulation,2
Disturbed Martingales,2
Computational Design,2
the Use,2
Comprehension,2
FBDDs,2
Multiple Comparisons,2
Stochastic Models,2
Pointer,2
Aerodynamic,2
Global Optimization,2
Probability Measures,2
Boolean,2
Bounds,2
One,2
Cascade,2
Signatures,2
Two,2
Order Statistics,2
Computer-Aided Design,2
VLSI Circuits,2
A Tutorial,2
Lower Bounds,2
Large Scale,2
Probabilistic Verification,2
Combinatorial Optimization,2
Brownian Motion,2
The Future,2
Cases,2
Biometric Identification,2
Issuer,2
PIN,2
Entropy,2
Alphabet,2
Cheque,2
Unlinkability,2
TWIRL,2
Camellia,2
Administrative Policies,2
Hard-Core,2
Bit,2
Cryptology,2
Proxy Signatures,2
Euler 's,2
MDC-2,2
MDC-4,2
Substitution-Permutation,2
SP,2
Summation,2
Availability,2
Tempest,2
Blum-Blum-Shub Pseudorandom,2
Authorizations,2
resistance,2
Stack,2
Digit Exponentiation,2
DAC,2
Authority,2
Biometric Systems,2
PMAC,2
X. 509,2
DC,2
Payment,2
Rivest Cipher,2
Membership,2
Pseudoprime,2
Signcryption,2
Function Fields,2
Pseudonyms,2
Primality Proving,2
Luby-Rackoff Ciphers,2
Password,2
Cross-Correlation,2
Salt,2
Related Key,2
Virtualization,2
Order,2
Invasive Attacks,2
E0,2
Ring,2
Hash Function,2
Injection,2
Credentials,2
encryption,2
Overflow,2
Conference,2
Symmetric,2
Formal Analysis,2
Modulus,2
Linear Syndrome,2
Location Privacy,2
Diffie-Hellman Problem,2
Big Number,2
Certified,2
Radio Frequency,2
Nonlinearity,2
Time Synchronization,2
Propagation Characteristics,2
Kerckhoffs ',2
Homomorphism,2
Source,2
Challenge-Response,2
an Information,2
Theoretic Perspective,2
attack,2
RC4,2
Run,2
Trojan Horses,2
Computer Viruses,2
Remanence,2
RC5,2
Role-Based Access,2
Group Signatures,2
Replay,2
Modes,2
Claw-Free,2
FEAL,2
Synchronous,2
Quadratic,2
Residuosity Problem,2
aelig,2
Software Security,2
Third Party,2
DLP,2
EMV,2
Weak,2
Collision Resistance,2
RC6,2
Untraceability,2
Wiener,2
Boneh-Durfee,2
May Attacks,2
OEFs,2
Target,2
Attack Defense,2
Sensor,2
Chinese Remainder,2
Linear Consistency,2
the Security,2
Exhaustive Key,2
Electronic Voting,2
Undeniable Signatures,2
Combination,2
Asymmetric,2
Nonrepudiation,2
Digital Signatures,2
Fermat 's,2
Perspective,2
Forgery,2
Substitutions,2
Evaluation Criteria,2
Authentication Code,2
Virus,2
Moore 's,2
A5/1,2
Needham-Schroeder Protocols,2
Trapdoor One-Way,2
Platform Module,2
RSA,2
Correlation Attack,2
Exponentiation Algorithms,2
Kasumi/Misty1,2
Skipjack,2
OAEP,2
Strong RSA,2
IPsec,2
BLS,2
General Overview,2
e-Government,2
MIPS-Year,2
Session,2
DES-X,2
DESX,2
Computing Group,2
Logarithm Problem,2
Irreducible,2
Exponentiation,2
HTTP,2
Session Security,2
Encryption Key,2
Slide,2
the Presence,2
Acquirer,2
Sender,2
GOST,2
Fiat-Shamir Identification,2
Fast Correlation,2
Work,2
Gap,2
CPS,2
Least Common,2
PKCS,2
Maxims,2
Impersonation,2
DoS,2
Shrinking,2
Encrypted Data,2
Halving,2
Blowfish,2
Master,2
Verifiable Secret,2
Sieving,2
HMAC,2
Identity-Based Cryptosystems,2
Temperature,2
Station-to-Station,2
Differential Power,2
Paillier Encryption,2
TPM,2
Chip,2
Block Cipher,2
Cellular,2
Routing Protocols,2
Broadcast Authentication,2
SEAL,2
CBC-MAC,2
HTTPS,2
Congruential Generator,2
Standards Activities,2
IPES,2
Ron 's,2
Overspender,2
Multiplication,2
Birthday,2
IDEA,2
Multiparty,2
Keys,2
Regulations,2
RF,2
Linkage,2
Minimal,2
SSH,2
Mashups,2
Wireless Communication,2
Differentials,2
Solitaire,2
XSS,2
Cube,2
Share,2
Crypto Machines,2
MAC Algorithms,2
Statistical Databases,2
Berlekamp,2
matrix,2
Denial-of-Service,2
Perfect,2
Trade-offs,2
Intrusion,2
Rootkits,2
MAC,2
Secret,2
X.,2
Packet,2
Performance,2
Study,2
Building,2
Utilization,2
Individuals,2
Section,2
Older Adults,2
Dementia,2
Activities,2
Communities,2
What,2
Wellbeing,2
Security Requirements,2
Human Behavior,2
Multimodal,2
Business Processes,2
Sequential,2
Binary Decision,2
CMOS,2
FPGA,2
Logic Functions,2
Logic Synthesizer,2
Digital Circuits,2
Microelectronics,2
AND,2
Multi-levels,2
Higher Education,2
Analyses,2
the Making,2
Higher,2
the U.S.,2
Online Chat,2
2.0,2
Cybernetics,2
Robotics,2
Sensors,2
Historical Perspectives,2
Automatic Control,2
Control Theory,2
Decision Support,2
Organizational,2
Agriculture,2
Motion Planning,2
Extrapolation,2
Timed Automata,2
Visible Language,2
Mixed Reality,2
Persons,2
Digital Rights,2
Narrative,2
Rendering,2
Animation,2
Social Media,2
Metaphor,2
a Tool,2
User Experience,2
Complex Systems,2
Fluid Simulation,2
Industry,2
Conceptual Model,2
Gaming Architectures,2
Interest Management,2
GA,2
Decision-Making,2
Origin,2
Immersive Technologies,2
Eye Tracking,2
Crowd,2
Information Visualization,2
Deformation,2
Recognition Techniques,2
Granular,2
Portable Devices,2
Multicast Protocols,2
Layer,2
Intelligent,2
Parametric,2
Clusters,2
Chains,2
Information Technology,2
Computer Science,2
Server,2
Financial Applications,2
Object-Oriented Databases,2
Autonomous,2
Network Architectures,2
Object-Oriented Analysis,2
Computer Vision,2
Expert Systems,2
Control Systems,2
Software Testing,2
Choice,2
File Systems,2
Web Services,2
Pattern Formation,2
Single Neurons,2
Neuroimaging,2
Dendritic Spines,2
Collision Avoidance,2
Sound Localization,2
Metabotropic Receptors,2
Pain,2
DBS,2
Insects,2
Behavior,2
Synaptic Dynamics,2
Stability,2
Oscillations,2
Action,2
Bayesian Models,2
Auditory Cortex,2
Significance,2
Gap Junctions,2
the Brain,2
Psychiatry,2
Connectome,2
Constant,2
Neuronal Signaling,2
Learning Rules,2
Computational Methods,2
Spinal Cord,2
Auditory,2
Center-Surround Processing,2
Receptors,2
Breathing,2
Cortical Maps,2
Speech,2
Prosthetic Vision,2
Neuromechanics,2
Brain-Computer Interfaces,2
Failure,2
Membrane,2
Spatial,2
Peripheral Nerve,2
Modulation,2
Visual Aftereffects,2
Stereo Vision,2
Code,2
Cochlear Implants,2
Acquisitions,2
Outsourcing,2
Grid Environments,2
Model-Based Testing,2
Cryptosystems,2
Microcells,2
Smart Phones,2
Intelligent Agents,2
Compliance,2
Mobile Streaming,2
Extranet,2
Deployment,2
Sarbanes-Oxley Act,2
SOX,2
WLAN,2
Laws,2
VoI,2
IEEE 802.16,2
WMANs,2
Security Councils,2
Defense,2
Depth,2
Computer Crime,2
Systems Development,2
Fraud,2
Cookies,2
Web Bugs,2
Ultra-Wideband,2
Glossary,2
Web Applications,2
Wireless Internet,2
Common Models,2
Covert Channels,2
Privacy Breaches,2
Global Transmissions,2
Jurisdictional Issues,2
4G,2
Wireless Channels,2
Framework,2
IDSs,2
Procedures,2
Content Repurposing,2
Cybercrime,2
Network Protocols,2
Awareness,2
ISMSs,2
Inspection Technologies,2
MBMS,2
Mitigation,2
Frameworks,2
Reporting,2
Surveillance,2
Closed-Circuit Television,2
IPSec,2
Patch Management,2
PBX Firewalls,2
Crime,2
CRM,2
Governance Institute,2
ITGI,2
Downsizing,2
Performance Evaluation,2
Myths,2
Single Sign-On,2
Centers,2
Voice-over-IP,2
VoIP,2
RFID,2
Network Technologies,2
Resource Allocation,2
5W Network,2
Admission Control,2
Auditory Interfaces,2
Optical Networks,2
Communications,2
SNMP,2
Physical Access,2
Restoration Component,2
System Design,2
Flaws,2
ISO,2
Domain,2
DNS,2
Video Streaming,2
Wireless Applications,2
Rules,2
Committee,2
Sponsoring Organizations,2
COSO,2
Mobile P2P,2
DCSA,2
Legal Issues,2
External Networks,2
Secured Connections,2
Mobility Management,2
Evaluation Strategy,2
Mobile Services,2
Wireless Transceivers,2
Practices,2
End,2
Node Security,2
Firewall Technologies,2
Capability,2
Identity Theft,2
Computational Forensics,2
Peer-to-Peer Networks,2
Argumentation,2
Barriers,2
Intellectual Property,2
Digital,2
Modal Logics,2
Spatial Logic,2
Temporal Logic,2
Axioms,2
Digital Library,2
Standardization,2
Progress,2
GIS,2
References,2
Abstraction,2
Hybrid Systems,2
Security Protocols,2
Arrangements,2
Splines,2
Paths,2
Randomization,2
Semantic Webs,2
Innovation Processes,2
Agents,2
Communication Technologies,2
Description,2
Knowledge Dissemination,2
Inferences,2
Decision Theory,2
Cluster Analysis,2
Categorical Data,2
Chemometrics,2
Statistical Fallacies,2
Econometrics,2
Student 's,2
Six,2
Sigma,2
Recent Advances,2
Chernoff,2
Departures,2
Statistical Distributions,2
Normal Distribution,2
Histograms,2
Developing Countries,2
P-Values,2
Bayesian Statistics,2
Presentation,2
Nonparametric Statistics,2
Akaike 's,2
Statistical Estimation,2
Freedom,2
Poisson,2
Ranks,2
Points,2
Multivariate,2
Extremes,2
Outliers,2
Statistical Modelling,2
Nonresponse,2
Chi-Square,2
Significance Tests,2
Nonparametric Regression,2
Random Variables,2
Optimal Shrinkage,2
Surveys,2
Variables,2
Sport,2
Functional Data,2
Inference,2
Difference Equations,2
Discriminant Analysis,2
Geometric,2
Differential Equations,2
Extensions,2
Stream Mining,2
Rough,2
SVM,2
Interactive Systems,2
Noisy Unstructured,2
Part II,2
Bio-Inspired Algorithms,2
Evolutionary Approaches,2
Ensemble,2
ANN,2
Part I.,2
Artificial Vision,2
AVI,2
Surface Flaws,2
Simulated Annealing,2
ANNs,2
Metaheuristics,2
Mathematical Modeling,2
Motion Sickness,2
Virtual Environment,2
Graph Drawing,2
Location Management,2
Data Structures,2
Optimization Techniques,2
Embedded Systems,2
Gesture,2
p-adic Numbers,2
Parallel Tasks,2
Internet Computing,2
Floorplan Representations,2
Mobile Applications,2
Computational Geometry,2
Internet Applications,2
Pairings,2
Power Management,2
Rounding,2
Energy Saving,2
Flexible Hybrid,2
Flowshops,2
Pervasive Computing,2
Petri Nets,2
Sets,2
Planar Graphs,2
Finite State,2
Dynamic Reconfiguration,2
Multiprocessor Systems,2
Networked,2
Overlay,2
Soft Computing,2
Approximation Schemes,2
Multimedia Documents,2
Memetic Algorithms,2
Streams,2
Broadcasting,2
Hacker,2
Search,2
Learning Algorithm,2
Topic Models,2
Wireless Networking,2
Video Transmission,2
Membership Models,2
Drawing Algorithms,2
Low-Power,2
Human-Computer Interaction,2
Design Issues,2
Liability,2
Array Architectures,2
Floorplanning,2
Randomized,2
Automotive Applications,2
Mediators,2
Heterogeneous Data,2
String,2
SSIM,2
Audio Compression,2
Fuzzy Techniques,2
Context Representation,2
Multimedia Web,2
Semantic Web,2
Wireless Devices,2
Fairness,2
Online Games,2
Three Dimentional,2
Multiple Watermarks,2
a Sequence,2
Adaptation Operations,2
Recognition Evaluation,2
Pilots,2
Immersive Virtual,2
User Modeling,2
Universal Multimedia,2
Multichannel Data,2
Ordering Schemes,2
Video Capture,2
Story Telling,2
Png,2
Spectral,2
Motion Estimation,2
Half-Pixel Accuracy,2
DCT,2
Threshold Schemes,2
Coding Standard,2
Vss,2
Emotion,2
Motion Compensation,2
COSMOS-7,2
Musical Audio,2
Encryption Standard,2
Virtual Restoration,2
Artworks,2
AHA,2
Tracking,2
Human Computer,2
Web Tools,2
Haptic,2
Hierarchical VoD,2
Content Management,2
Semantic Medical,2
Area Overview,2
Image Watermarking,2
Visual Cryptography,2
H. 263,2
Music Retrieval,2
Provision,2
VCR Functionalities,2
SIMD,2
Single Instruction,2
DWT,2
CFA,2
Game Event,2
Long Duration,2
Edge-Sensing,2
Mechanism,2
Fidelity Measurement,2
Haptic Feedback,2
Aged Films,2
Multimedia Networks,2
JFIF,2
SCORM,2
WMV-9,2
MPEG-2,2
Multimedia Libraries,2
Video-on-Demand Systems,2
Desktop Virtual,2
Networking Protocols,2
Audio Streaming,2
Multimodal Interfaces,2
Multimedia Entertainment,2
Parameters,2
Elements,2
JPEG-LS,2
Time Multimedia,2
Multi-Resolution Image,2
Progressive Meshes,2
User Authentication,2
VC-1,2
Open Systems,2
Tele-Operation,2
CAD Objects,2
Similarity,2
Authoring,2
Demosaicked Image,2
Postprocessing,2
Context-Aware Modeling,2
Semantic Agents,2
VoD Service,2
Scalable Video,2
Educational Hypermedia,2
Three Dimensional,2
MPEG-1,2
Image Matching,2
Device-Driven Presentation,2
Photo,2
Defect Detection,2
Tele-Haptics,2
RTP,2
Semantic Visual,2
Video Delivery,2
Person,2
Multimedia E-Commerce,2
Document Standards,2
QOS Assessment,2
Haptics,2
MPEG-4 AVC,2
Multimedia Data,2
Image Noise,2
Representations,2
Knowledge-Assisted,2
Home,2
Car,2
Flight Entertainment,2
Video-Based Face,2
Semantic Consumer,2
Occlusions,2
Style Sheets,2
News Video,2
Infrared Face,2
Multimedia File,2
Power-Rate Distortion,2
Scalable,2
Message Digest,2
Extensible Stylesheet,2
Audio,2
Telepresence,2
Diamond,2
Computational Intelligence,2
Dataflow Graphs,2
DSP Processors,2
Signal,2
Conformance Checking,2
SQL-on-Hadoop,2
Benchmarks,2
MapReduce,2
Health,2
Approximate Computing,2
Knowledge Graphs,2
Graph Data,2
Document Analysis,2
Beam,2
Weighted Learning,2
Agent-Based Computational,2
Multi-agent,2
Maximization Clustering,2
Error Loss,2
Loopy Belief,2
Statistical Physics,2
Assertion,2
Formal Concept,2
NCL,2
Computational Discovery,2
Quantitative Laws,2
Feature Construction,2
Life-Long,2
AUC,2
Immune Systems,2
Conditional,2
Random Field,2
Sponsored,2
Kernel Functions,2
Continual,2
Growth,2
Digraphs,2
Abduction,2
Shift,2
Detail,2
Taxicab,2
Norm Distance,2
Adaptive System,2
Rotation,2
Genetic Feature,2
Junk,2
Robot Control,2
RSM,2
Community,2
