phrase,computer science,python,machine learning,artificial intelligence,ai,deep learning,algorithm,algorithms,code,architecture,api,software,framework,computer security,computer system,computer systems
computer graphics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
application development,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
software testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software package,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinatorial optimization,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
user interfaces,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
functional programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
training samples,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
high-dimensional data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parallel computing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logic programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stereo vision,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
generative model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer vision,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
grid computing,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
speech recognition,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
computing systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data structures,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
shared memory,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
information security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
file systems,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
internet security,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
markup languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
database systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micropayment systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fitness function,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
dynamic programming,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
feature extraction,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
web services,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
image annotation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cryptographic protocols,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concurrent programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optimization techniques,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
distributed computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machine intelligence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
computer science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual machine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
software systems,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mobile applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
game development,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
parallel programs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual environment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log files,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cellular automata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
private key,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image classifiers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optimization technique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language processing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
key management,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
encrypted data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block ciphers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
computational cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hidden layers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
data mining,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
optimization algorithms,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
memory access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parallel computers,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
security architecture,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
distributed memory,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
knowledge representation,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
network topologies,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
spatiotemporal data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parallel algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constraint programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theorem proving,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
embedded devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual environments,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reverse engineering,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
machine translation,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
computational resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambient intelligence,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
scientific computing,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
approximation algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optimization algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
signal analysis,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
image classification,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
feature vectors,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
text processing,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
computational methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dictionary attack,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sensor networks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computational analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
approximation algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree structures,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image analysis,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hash functions,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
malicious code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computational systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evolutionary algorithms,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
computational complexity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computational models,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
object recognition,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
computational efficiency,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
autonomous agents,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
data storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stream processing,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
genetic algorithms,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
image segmentation,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
spam filtering,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
digital signature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network traffic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
information systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer worms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numerical methods,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gesture recognition,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
social network,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fuzzy logic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hash function,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parallel architectures,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
loss functions,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
temporal logic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
decision trees,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
motion planning,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
wireless networks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nearest neighbors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block cipher,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
classification problems,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
nonlinear programming,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
computational modeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classification accuracy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
markup language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genetic programming,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
text classification,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
memory architectures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social networking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data centers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digital signatures,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
network capabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
location-based service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wireless security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object tracking,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
network structure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronic signatures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
location-based services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speech processing,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
single sign-on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network architectures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
program verification,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quantum cryptography,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
communication networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster analysis,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
buffer overflow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
real-time systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sparse representation,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
relational databases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computational geometry,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
classification models,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
peer-to-peer systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object classification,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
information processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data classification,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
simulation techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coding theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real-time data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
packet forwarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unlabeled data,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
data-flow analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
floating point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semistructured data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case-based reasoning,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user-centered design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interprocedural analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biometric systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
receptive fields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discrete-event simulation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
minimization problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
side-channel attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discrete-event systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inclusive design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exploiting parallelism,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tacit knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fine-grain parallelism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
granular computing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge-based systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elliptic curve,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
automata theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network classifiers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
logarithm problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
requirements engineering,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
source software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expert systems,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
optimization problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biometric technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stopping rules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object-oriented software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secret key,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user requirements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polygonal meshes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
integer programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recursively enumerable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visual programming,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
injection attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secured connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
support vector,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
autonomic computing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ad-hoc networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simulated annealing,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
mandatory access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finite state,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range images,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instant messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
geographic information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobile games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search space,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
performance analysis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ubiquitous computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wearable computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learning algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number generator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinatorial problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hardware/software co-design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hardware/software codesign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
global optimization,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
least squares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithmic aspects,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
web access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deductive databases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vector machines,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
agent-based systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recognition techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handheld devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithmic techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physical security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medical image,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet denoising,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
user behavior,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
game interface,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
end user,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
privacy protection,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
intelligent agents,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
admission control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secure data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pattern recognition,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
key exchange,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
suffix trees,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
assistive technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
static code,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conversational agents,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
register allocation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
web document,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microarray data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security protocols,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reachability analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security controls,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
complexity theory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cryptographic schemes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
software developers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
context-aware security,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
user interactions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decentralized systems,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
mesh processing,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
user data,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
multimedia applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automatic parallelization,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
practical algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information privacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wide web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
context-aware applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
images using,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user profiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maturity model,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
optimization methods,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
mobile computers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
component analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
write operations,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vehicular networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
version 2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local minima,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
external memory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mobile computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agent software,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
congestion control,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
networks using,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cross site,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
key agreement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scheduling problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computational time,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number generators,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
equality constraints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multi-core systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formal methods,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
background subtraction,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
game world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
translation system,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
peer-to-peer computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
input data,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information theory,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
attribute values,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optimization models,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge bases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime performance,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
service attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step size,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
transaction processing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kernel methods,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
software fault,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
association rules,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
particle swarm,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
software metrics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
private information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chosen plaintext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object-oriented analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
model checking,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
transitive closure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active contours,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
input space,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
digital images,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge base,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
multimodal biometrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
