noun_phrase,frequency,score
digraphs,72,0
relevance,72,0
query,72,0
wikipedia,72,0
standard,72,0
processors,72,0
envelopment analysis,72,0
parallelization,72,0
obstacles,72,0
modules,72,0
contents,72,0
a tree,72,0
ecirc,72,0
perspective,217,-145607
refinement,78,-6708
specification,71,0
des,71,0
temperature,71,0
system design,71,0
caching,71,0
variability,71,0
antenna selection,71,0
foundations,118,-47554
the semantics,70,0
circuits,70,0
customer,70,0
agriculture,70,0
metaheuristics,70,0
practical,70,0
the wild,70,0
theoretical analysis,70,0
germany,70,0
korea,70,0
newton 's,69,0
combinatorial optimization,69,0
wlans,69,0
size,69,0
rough,69,0
example,69,0
malaysia,69,0
the roles,69,0
procedure,69,0
faults,69,0
upper,69,0
edges,69,0
et,69,0
mode,110,-41250
guidelines,91,-22386
customers,68,0
a tutorial,68,0
fingerprint,68,0
attack,68,0
anonymity,68,0
replication,68,0
brain,68,0
symmetry,68,0
contributions,68,0
semantic,68,0
the characterization,68,0
map,68,0
convex optimization,68,0
experiment,68,0
tabu search,68,0
supplier selection,68,0
mimo radar,68,0
vector quantization,68,0
the recognition,68,0
bounds,251,-183481
diversity,158,-90692
recovery,131,-63797
virtual environments,82,-14924
level,67,0
energy-efficient,67,0
trajectories,67,0
temporal,67,0
price,67,0
a strategy,67,0
a function,67,0
reply,67,0
security analysis,67,0
vanet,67,0
videos,67,0
accuracy,174,-107532
revisited,66,0
behaviour,66,0
physics,66,0
barriers,66,0
computations,66,0
small,66,0
independence,66,0
cluster,66,0
considerations,66,0
the way,66,0
emotions,66,0
tree problem,66,0
adc,66,0
stability analysis,188,-122388
formal methods,65,0
sensor,65,0
congestion control,65,0
continuity,65,0
interfaces,65,0
table,65,0
kernels,65,0
metric,65,0
sar,65,0
free,65,0
processor,65,0
proposal,65,0
bandwidth,65,0
large,65,0
es,65,0
hong kong,65,0
data fusion,65,0
i.,65,0
fast computation,65,0
call,65,0
the grid,65,0
fault tolerance,65,0
synchronous motor,65,0
cognitive science,65,0
biometrics,64,0
business processes,64,0
position,64,0
rank,64,0
belief,64,0
single,64,0
design considerations,64,0
the synthesis,64,0
the impacts,64,0
lithium-ion batteries,64,0
depth,69,-5313
unification,67,-3484
routing,68,-4556
infrastructure,83,-19837
edge detection,87,-23838
variational inequalities,63,0
performance modeling,63,0
australia,63,0
manufacturing,63,0
developments,63,0
know,63,0
nonlinear,63,0
exact algorithms,63,0
the game,63,0
ideals,63,0
h. 264/avc,63,0
the vehicle,77,-14091
middleware,62,0
chip,62,0
web 2.0,62,0
centers,62,0
association,62,0
factorization,62,0
spatial data,62,0
lidar,62,0
constructions,62,0
nature,62,0
importance,62,0
its,62,0
a test,62,0
optimization algorithm,62,0
mammograms,62,0
regular graphs,62,0
smart environments,62,0
channel,111,-49506
evolutionary algorithms,229,-167857
formal verification,61,0
inversion,61,0
secure,61,0
block,61,0
fundamentals,61,0
acceleration,61,0
eeg,61,0
acquisition,61,0
its use,61,0
medicine,61,0
mind,61,0
italy,61,0
mathematical programs,61,0
the feasibility,61,0
linear time,61,0
a language,61,0
mobile users,61,0
limited feedback,61,0
interference alignment,61,0
hyperspectral data,61,0
convex,61,0
community detection,84,-23016
computational intelligence,129,-68241
bayesian analysis,60,0
high-dimensional data,60,0
tabu,60,0
growth,60,0
degree,60,0
multi,60,0
robust optimization,60,0
the age,60,0
a report,60,0
the interplay,60,0
new approach,60,0
large-scale data,60,0
mit press,60,0
functional connectivity,60,0
scenarios,64,-4224
roles,59,0
platform,59,0
fault,59,0
incomplete data,59,0
power consumption,59,0
auctions,59,0
resilience,59,0
correction to,59,0
productivity,59,0
the choice,59,0
fuzzy control,59,0
pso,59,0
review -rsb-,59,0
0.13,59,0
modis data,59,0
knowledge representation,58,0
the best,58,0
collision avoidance,58,0
atm,58,0
scalability,58,0
scalable,58,0
microgrids,58,0
iterative methods,58,0
contracts,58,0
a view,58,0
the risk,58,0
a simple,58,0
sparsity,58,0
performance assessment,58,0
this,58,0
rings,58,0
hetnets,58,0
concurrency,58,0
newsletter,58,0
multipliers,57,0
key,57,0
engagement,57,0
data centers,57,0
procedures,57,0
ieee 802.15.4,57,0
estimate,57,0
satellite,57,0
derivatives,57,0
mathematical programming,57,0
best practices,57,0
universal,57,0
spectral analysis,57,0
supply chain,57,0
delivery,57,0
canada,57,0
the consistency,57,0
ghz,57,0
neural correlates,57,0
virtual,69,-12558
autonomous vehicles,69,-12627
analyses,56,0
equilibria,56,0
scaling,56,0
a guide,56,0
population,56,0
observation,56,0
stochastic optimization,56,0
a library,56,0
climate change,56,0
behaviors,56,0
parallelism,56,0
the past,56,0
a game,56,0
the strength,56,0
a group,56,0
hyperspectral imaging,56,0
coefficients,56,0
ensembles,56,0
demo,56,0
the lattice,56,0
impulsive noise,56,0
the edge,56,0
soil moisture,56,0
hour,56,0
variants,55,0
privacy protection,55,0
outliers,55,0
speed,55,0
varieties,55,0
personalization,55,0
spatial analysis,55,0
regulation,55,0
gradient,55,0
parallel computation,55,0
feedback control,55,0
memoriam,55,0
the representation,55,0
speech recognition,55,0
logistic regression,55,0
cloud environment,55,0
domain,129,-74046
outlier detection,75,-20550
iot devices,63,-8631
source,54,0
breast cancer,54,0
ieee 802.16,54,0
market,54,0
pca,54,0
self,54,0
the history,54,0
consumers,54,0
texts,54,0
a proof,54,0
fast algorithms,54,0
calculations,54,0
indoor environments,54,0
a design,54,0
anfis,54,0
video sequences,54,0
modis,54,0
minimum,112,-58128
power allocation,137,-83296
heterogeneous,53,0
vlsi circuits,53,0
area,53,0
answer,53,0
video streaming,53,0
governance,53,0
implementations,53,0
mathematical modeling,53,0
causality,53,0
emotion,53,0
preference,53,0
locality,53,0
eigenvalues,53,0
applicability,53,0
cyberspace,53,0
column,53,0
co,53,0
a theorem,53,0
lidar data,53,0
antennas,53,0
teachers ',53,0
implications,404,-351076
hierarchical,87,-34452
high performance,64,-11968
's,52,0
or,52,0
multicast,52,0
encyclopedia,52,0
the data,52,0
smart,52,0
multiprocessors,52,0
self-organization,52,0
the law,52,0
categorization,52,0
marketing,52,0
word,52,0
vector,52,0
noise reduction,52,0
the classroom,52,0
acirc,52,0
a remark,52,0
particle filter,52,0
the uk,52,0
directional antennas,52,0
four,52,0
fog,52,0
completeness,52,0
image retrieval,179,-127090
prospects,65,-13715
systeme,51,0
the class,51,0
large scale,51,0
timing,51,0
methodologies,51,0
direct,51,0
parametric,51,0
simple,51,0
generalizations,51,0
provenance,51,0
law,51,0
light,51,0
redundancy,51,0
normalization,51,0
intersections,51,0
molecules,51,0
das,51,0
the difference,51,0
mobile crowdsensing,51,0
matlab,51,0
cnn,51,0
iran,51,0
permutation polynomials,51,0
sensorless control,51,0
0.18,51,0
les,51,0
landsat 8,51,0
random forest,64,-13376
target,136,-85680
the classification,117,-66924
arrays,50,0
control system,50,0
real,50,0
texture,50,0
length,50,0
climate,50,0
weighted,50,0
gps,50,0
classifier,50,0
knowledge acquisition,50,0
artificial life,50,0
expectations,50,0
findings,50,0
drivers,50,0
the geometry,50,0
un,50,0
blind,50,0
nakagami,50,0
nuggets,50,0
high-level synthesis,50,0
controller,50,0
high-resolution remote,50,0
hevc,50,0
investigation,347,-297032
reversible data,77,-27335
automated,71,-21726
class,49,0
data warehouses,49,0
timed automata,49,0
markov,49,0
surveillance,49,0
telecommunications,49,0
inequality,49,0
clustering algorithm,49,0
rotation,49,0
heterogeneity,49,0
linear programs,49,0
portfolio selection,49,0
calendar,49,0
k-means,49,0
the road,49,0
strategic,49,0
addendum,49,0
the principle,49,0
first,49,0
the environment,49,0
performance optimization,49,0
driver,49,0
powers,49,0
on the,49,0
humanoid robots,49,0
compressive,49,0
emotion recognition,49,0
semantic segmentation,49,0
definability,49,0
machine translation,50,-1050
energy efficiency,188,-139496
optimal scheduling,60,-11700
bias,69,-20907
gamification,48,0
posets,48,0
coexistence,48,0
copulas,48,0
linear regression,48,0
reflection,48,0
microarray data,48,0
independent,48,0
fair,48,0
collaborative,48,0
the modeling,48,0
graph theory,48,0
inventory,48,0
tomography,48,0
correlations,48,0
recommender system,48,0
r.,48,0
dual,48,0
opportunity,48,0
novel,48,0
a mixture,48,0
a step,48,0
africa,48,0
intersection,48,0
decidability,48,0
areas,48,0
automatic detection,113,-65540
allocation,120,-72960
experimentation,47,0
finance,47,0
network security,47,0
the relevance,47,0
bayesian,47,0
cell,47,0
motor,47,0
vlsi,47,0
branch,47,0
connection,47,0
space-time,47,0
transparency,47,0
histogram,47,0
data clustering,47,0
system identification,47,0
squares,47,0
differential privacy,47,0
the space,47,0
mobile crowd,47,0
paper,47,0
predictors,47,0
a web,47,0
portfolio optimization,47,0
indicators,47,0
texture analysis,47,0
ahp,47,0
low power,47,0
cscl,47,0
permanent magnet,47,0
hough,47,0
many-objective optimization,47,0
fmri,47,0
adaptive control,86,-39044
differential evolution,177,-130095
bayesian inference,77,-30107
hyperspectral images,160,-113440
induction motor,61,-14701
modes,46,0
categorical data,46,0
estimators,46,0
acceptance,46,0
congestion,46,0
urban environments,46,0
the era,46,0
the network,46,0
reputation,46,0
health care,46,0
datasets,46,0
public,46,0
fault-tolerant control,46,0
time-varying delay,46,0
the success,46,0
multiple antennas,46,0
cells,46,0
the research,46,0
the comparison,46,0
intelligence,97,-51313
uniqueness,68,-22576
coupling,79,-33970
gaussian processes,45,0
parallel programs,45,0
cybernetics,45,0
artificial,45,0
sparse,45,0
regression analysis,45,0
functional,45,0
qos support,45,0
network design,45,0
home,45,0
their use,45,0
optimization algorithms,45,0
culture,45,0
money,45,0
line,45,0
firms,45,0
the time,45,0
the properties,45,0
numerical study,45,0
risk assessment,45,0
aging,45,0
the factors,45,0
broadband,45,0
a message,45,0
power transfer,45,0
indoor localization,45,0
cancellation,45,0
the library,45,0
the paper,45,0
intention,45,0
cubic graphs,45,0
subgraphs,45,0
automorphisms,45,0
dynamic environments,77,-32032
decision support,171,-126198
pattern classification,104,-59488
integral,50,-5700
negation,44,0
global convergence,44,0
computational,44,0
neural,44,0
neuroscience,44,0
treatment,44,0
axioms,44,0
knowledge transfer,44,0
reuse,44,0
functional data,44,0
discretization,44,0
art,44,0
indoor positioning,44,0
average,44,0
shape,44,0
power system,44,0
maximization,44,0
loops,44,0
maude,44,0
the optimality,44,0
the absence,44,0
the usability,44,0
websites,44,0
open,44,0
throughput analysis,44,0
performance study,44,0
the rise,44,0
the relationships,44,0
interference cancellation,44,0
a prototype,44,0
longitudinal data,44,0
some classes,44,0
subsets,44,0
digital forensics,44,0
rezension,44,0
machine vision,46,-2162
stabilization,126,-82278
the stability,125,-81375
teams,46,-2576
manipulation,56,-12656
editors ',100,-56900
ambiguity,63,-19971
availability,43,0
resistance,43,0
virtualization,43,0
encrypted data,43,0
human factors,43,0
a tale,43,0
gesture,43,0
a look,43,0
mixture,43,0
particle,43,0
switching,43,0
out,43,0
batch processes,43,0
design optimization,43,0
artifacts,43,0
controllers,43,0
update,43,0
the humanities,43,0
place,43,0
tuning,43,0
dictionary,43,0
array,43,0
grammars,43,0
openmp,43,0
journals,43,0
chinese,43,0
wind turbines,43,0
disturbances,43,0
the diagnosis,43,0
throughput maximization,43,0
president 's,43,0
zero,43,0
jordan,43,0
antecedents,43,0
spatial modulation,43,0
noma,43,0
swipt,43,0
disabilities,43,0
teachers,43,0
static analysis,43,0
censored data,43,0
fuzzy environment,43,0
the order,43,0
the ethics,49,-6027
generating,149,-106088
empirical evidence,73,-30149
randomness,54,-11232
norm,47,-4465
cooperative,101,-58883
statistics,217,-174902
top,42,0
factor,42,0
2.0,42,0
incremental,42,0
crowd,42,0
computational methods,42,0
outsourcing,42,0
argumentation,42,0
most,42,0
pdes,42,0
invariants,42,0
google,42,0
matrix completion,42,0
biology,42,0
cloud environments,42,0
embedding,42,0
the rate,42,0
the end,42,0
a discussion,42,0
the example,42,0
the definition,42,0
monotonicity,42,0
the growth,42,0
robotic manipulators,42,0
the characteristics,42,0
the fusion,42,0
spectra,42,0
credit scoring,42,0
cross-layer design,42,0
asymptotic analysis,42,0
matchings,42,0
chess,42,0
power converters,42,0
visual analytics,51,-9231
transformations,79,-37288
logic programs,136,-94384
restoration,52,-10608
signal,55,-13695
a calculus,41,0
complete graphs,41,0
polynomial time,41,0
quantization,41,0
usa,41,0
generator,41,0
prevention,41,0
responses,41,0
spectral efficiency,41,0
wlan,41,0
voip,41,0
portals,41,0
h. 264,41,0
cover,41,0
fractional,41,0
universality,41,0
atoms,41,0
the perception,41,0
satellite data,41,0
industry 4.0,41,0
cuda,41,0
oslash,41,0
structural analysis,41,0
smart city,41,0
theoretic approach,41,0
makespan,41,0
porous media,65,-24440
innovations,66,-25476
targets,108,-67932
the treatment,40,0
video surveillance,40,0
cryptology,40,0
semiconductor manufacturing,40,0
platforms,40,0
deterministic,40,0
quality control,40,0
latency,40,0
spectral,40,0
anatomy,40,0
sequencing,40,0
second order,40,0
iris recognition,40,0
the price,40,0
difference,40,0
preview,40,0
condition,40,0
two approaches,40,0
the process,40,0
a 3d,40,0
a fast,40,0
smartphone,40,0
the elderly,40,0
interference mitigation,40,0
fuzzy c-means,40,0
cartoon,40,0
satellite observations,40,0
cognitive control,40,0
coherence,47,-7332
sar images,136,-96424
mac protocol,43,-3827
threshold,39,0
diagrams,39,0
risk analysis,39,0
steganography,39,0
crime,39,0
workflow,39,0
fit,39,0
mobile environments,39,0
workstations,39,0
qos provisioning,39,0
low-power,39,0
python,39,0
specifications,39,0
land,39,0
boundary,39,0
motion control,39,0
3-d,39,0
the origin,39,0
android,39,0
open data,39,0
relevance feedback,39,0
family,39,0
the intersection,39,0
the architecture,39,0
gesture recognition,39,0
the discovery,39,0
control strategy,39,0
the determinants,39,0
a pair,39,0
a construction,39,0
high-speed,39,0
south korea,39,0
out-of,39,0
pg,39,0
topologies,39,0
dissertationen,39,0
landsat,39,0
norms,43,-4085
virtual worlds,47,-8554
media,61,-22936
the interpretation,38,0
queue,38,0
the www,38,0
electronic,38,0
dna,38,0
shortest,38,0
iris,38,0
polarization,38,0
compliance,38,0
ocirc,38,0
confidence,38,0
new technologies,38,0
data analytics,38,0
particle filtering,38,0
mpi,38,0
fourier,38,0
human computation,38,0
obstacle avoidance,38,0
variable neighborhood,38,0
tolerance,38,0
preconditioners,38,0
a response,38,0
the set,38,0
comparative evaluation,38,0
clutter,38,0
new algorithms,38,0
forest,38,0
decompositions,38,0
the mean,38,0
vivo,38,0
2-d,38,0
the experience,38,0
ad hoc,38,0
the significance,38,0
a package,38,0
a data,38,0
antenna,38,0
radio,38,0
compact,38,0
saudi arabia,38,0
integers,38,0
the calibration,38,0
or practice,38,0
uniform,46,-8510
security protocols,41,-3608
index,82,-44690
cooperative spectrum,89,-51887
parameters,226,-188936
differential,37,0
