phrase,purity
hardware/software codesign,1.002045
grid computing,1.000000
speech recognition,1.000000
computing systems,1.141361
data structures,0.973267
shared memory,0.994662
global optimization,1.000000
information security,1.059829
file systems,0.926097
internet security,1.000000
user experience,1.045455
software quality,0.903808
least squares,1.000000
software support,0.952381
algorithmic aspects,1.000000
markup languages,1.000000
web access,0.905405
deductive databases,1.000000
database systems,1.103286
micropayment systems,0.962963
fitness function,1.000000
dynamic programming,1.109890
vector machines,1.000000
agent-based systems,1.000000
feature extraction,1.080357
recognition techniques,1.048780
web services,1.003783
handheld devices,1.000000
image annotation,1.000000
algorithmic techniques,1.000000
physical security,1.000000
cryptographic protocols,-0.000008
medical image,1.000000
concurrent programs,1.000000
optimization techniques,1.000000
distributed computing,1.000000
wavelet denoising,1.000000
user behavior,1.000000
machine intelligence,1.000000
computer science,1.000000
game interface,1.000000
end user,0.997812
virtual machine,1.013514
privacy protection,0.996390
software systems,0.988439
intelligent agents,0.978788
admission control,1.000000
mobile applications,1.000000
secure data,0.996016
pattern recognition,1.008325
game development,0.995868
key exchange,1.000000
parallel programs,1.000000
virtual environment,1.006160
log files,0.996610
suffix trees,1.030812
cellular automata,1.000000
assistive technology,1.007026
static code,1.000000
private key,1.097701
image classifiers,0.961240
optimization technique,1.000000
language processing,1.000000
conversational agents,1.023511
register allocation,1.000000
web document,1.000000
microarray data,1.000000
key management,1.000000
encrypted data,1.011696
security protocols,1.000000
dynamic program,1.000000
block ciphers,1.000000
reachability analysis,1.000000
security controls,1.000000
complexity theory,1.007444
web usage,1.000000
computational cost,1.000000
cryptographic schemes,1.000000
hidden layers,1.000000
software developers,1.005525
context-aware security,1.000000
data mining,1.005714
optimization algorithms,0.973737
user interactions,1.000000
computer games,1.030303
memory access,1.070769
decentralized systems,0.981366
mesh processing,1.000000
parallel computers,1.000000
user data,0.879154
security architecture,1.002361
distributed memory,1.000000
multimedia applications,-715000.000000
automatic parallelization,1.000000
knowledge representation,1.000000
network topologies,1.000000
spatiotemporal data,1.000000
practical algorithms,1.000000
parallel algorithms,1.000000
information privacy,1.000000
network computing,1.000000
wide web,1.000000
constraint programming,1.000000
context-aware applications,1.000000
images using,0.907563
computer interaction,1.000000
image data,0.995575
computer systems,0.993119
theorem proving,1.000000
user profiles,1.096330
maturity model,0.997561
embedded devices,1.000000
virtual environments,0.997849
optimization methods,1.002375
reverse engineering,1.005959
machine translation,1.000000
mobile computers,1.000000
component analysis,1.000000
case study,1.015773
write operations,1.000000
computational resources,0.997183
vehicular networks,1.000000
version 2.0,1.004938
ambient intelligence,1.000000
local minima,0.982759
external memory,1.000000
mobile computing,0.995935
scientific computing,1.000000
agent software,1.000000
congestion control,0.980583
networks using,0.925885
cross site,1.000000
approximation algorithm,1.000000
key agreement,0.869919
scheduling problems,1.000000
optimization algorithm,1.000000
computational time,0.996979
number generators,1.000000
equality constraints,1.000000
multi-core systems,1.058651
formal methods,1.007163
background subtraction,1.000000
signal analysis,1.000000
image classification,0.993162
feature vectors,0.993730
game world,0.979798
translation system,1.000000
peer-to-peer computing,1.000000
input data,1.000000
text processing,1.000000
computational methods,1.000000
dictionary attack,-30600.000000
sensor networks,1.000000
computational analysis,1.000000
information theory,1.000000
runtime systems,1.000000
attribute values,1.000000
approximation algorithms,1.000000
optimization models,1.000000
knowledge bases,1.000000
runtime performance,1.000000
service attacks,1.000000
step size,1.000000
transaction processing,1.000000
kernel methods,1.000000
tree structures,1.000000
software fault,1.000000
association rules,1.000000
image analysis,1.000000
particle swarm,1.000000
hash functions,1.000000
software metrics,1.000000
private information,1.000000
chosen plaintext,1.000000
network model,1.000000
object-oriented analysis,1.000000
malicious code,1.000000
model checking,1.000000
network architecture,0.989189
computational systems,1.000000
evolutionary algorithms,1.036481
transitive closure,0.954545
active contours,1.000000
input space,1.000000
digital images,0.989556
knowledge base,1.002915
multimodal biometrics,1.000000
computational complexity,1.151625
signature schemes,1.000000
privacy enhancing,1.000000
robot path,1.000000
data access,1.000000
management support,0.997268
computational models,1.000000
security breaches,0.981395
sensitivity analysis,0.829419
object recognition,0.992504
computational efficiency,1.018750
smart cards,1.000000
parallel scheduling,1.000000
autonomous agents,0.945026
missing data,1.000000
data storage,1.000000
ensemble methods,1.000000
usability engineering,1.000000
video games,1.000000
object management,1.000000
rapid prototyping,0.979943
decision support,1.019956
configuration management,0.961538
activation functions,1.000000
network function,1.000000
error detection,0.890244
terrorist networks,1.000000
social networks,1.018156
logic programs,1.000000
stream processing,1.000000
recognition performance,1.000000
genetic algorithms,1.059783
large networks,0.893878
log n,1.000000
risk management,1.000000
systems development,1.000000
network approach,1.000000
artificial data,1.000000
functional specification,1.000000
user inputs,1.000000
domain experts,1.000000
serious games,0.995349
image segmentation,-1070000.000000
image understanding,1.000000
spam filtering,1.000000
digital signature,1.000000
network traffic,1.000000
information systems,1.000000
computer worms,1.000000
conceptual model,1.000000
network theory,1.000000
numerical methods,1.000000
model databases,1.000000
group key,1.000000
feature space,1.000000
proof system,1.000000
spatial data,1.000000
channel coding,1.000000
gesture recognition,1.000000
extract features,1.000000
social network,1.000000
performance modeling,1.000000
fuzzy logic,1.000000
large graphs,1.000000
information gain,1.000000
usability evaluation,1.000000
visual interfaces,1.000000
remote access,1.000000
hash function,1.000000
cache management,1.000000
network models,1.000000
model optimization,1.000000
dynamic scheduling,1.000000
hoc networks,1.000000
hardware description,1.000000
integrity checks,1.000000
sample images,1.000000
data set,1.000000
complex systems,1.000000
image domain,1.000000
network design,1.000000
parallel architectures,1.000000
loss functions,1.000000
morphological filtering,1.000000
virtual world,1.002488
outsourced data,1.000000
higher order,0.949091
temporal logic,1.022989
fuzzy sets,0.900677
tool environments,0.995037
formal analysis,1.000000
entertainment applications,1.000000
visual analysis,1.037795
decision trees,0.881188
application areas,1.000000
motion planning,0.968992
parallel data,1.000000
network based,1.172566
wireless networks,0.988189
audit logs,1.000000
efficient data,0.919169
network protocols,1.027778
nearest neighbors,0.901826
queueing system,0.990020
block cipher,1.103448
scheduling model,1.000000
financial applications,1.000000
external networks,1.000000
information modeling,1.000000
video content,0.922460
soft computing,1.006211
mining algorithms,1.072072
classification problems,1.000000
nonlinear programming,1.000000
computational modeling,1.000000
classification accuracy,0.986867
random number,0.892086
static program,1.000000
markup language,1.000000
generic algorithms,1.069388
genetic programming,1.000000
model-based design,0.988372
multivariate techniques,0.996212
content distribution,1.000000
adaptive web,0.978808
dynamical systems,1.084967
mobile environments,0.988688
feature representation,0.991071
adaptive hypermedia,1.000000
reconstruction error,1.000000
digital environment,1.000000
balanced binary,1.000000
dialogue systems,1.000000
security architectures,-59700.000000
information assurance,-1060000.000000
program transformation,1.000000
text classification,-329000.000000
memory architectures,1.000000
feature matching,1.000000
virtual memory,1.000000
formal verification,1.000000
compression codes,1.000000
smart phones,1.000000
learning systems,1.000000
data sets,1.000000
location information,1.000000
game loop,1.000000
automatic classification,1.000000
social networking,1.000000
bilinear pairings,1.000000
interaction techniques,1.000000
data centers,1.000000
electron microscopy,1.006359
interactive computer,1.000000
systems management,1.095238
speech signal,1.000000
formal requirements,1.000000
coding techniques,1.000000
content information,1.000000
digital signatures,1.000000
sequence learning,1.000000
life cycle,1.000000
discrete time,1.000000
network capabilities,1.000000
language generation,1.000000
location-based service,1.013750
web intelligence,1.000000
basic data,0.911585
security risk,0.926380
data points,1.000000
interactive systems,1.000000
image description,1.000000
image translation,1.000000
word sequence,1.000000
logic design,1.002653
information visualization,1.000000
semiconductor manufacturing,1.000000
wireless security,1.000000
object tracking,1.000000
workflow management,0.985075
drug design,1.000000
sequential data,1.000000
application domains,1.000000
network structure,1.000000
color models,1.000000
language understanding,1.066667
input devices,0.988848
energy minimization,1.022727
data analysis,1.000000
network performance,1.000000
casual users,1.000000
binary decision,1.000000
virtual computing,1.000000
electronic signatures,1.000000
medical imaging,1.244186
location-based services,1.015267
digital rights,1.000000
database machine,1.000000
numerical solution,1.000000
multiple solutions,1.000000
represent data,1.000000
vision systems,1.000000
existing approaches,-516000.000000
spatial databases,1.000000
dynamic reconfiguration,1.000000
communication protocols,1.000000
binary images,1.000000
network complexity,1.000000
speech processing,1.000000
accessible design,1.000000
multidimensional databases,1.000000
security policies,1.000000
availability constraints,1.000000
single sign-on,1.000000
third party,1.000000
image search,1.000000
management tools,1.000000
mobile agents,1.000000
action selection,1.000000
internet usage,1.000000
real-time tasks,1.000000
mobile systems,1.000000
educational games,1.000000
resource discovery,1.000000
control problem,1.000000
decision making,1.000000
ray tracing,1.000000
numerical integration,1.000000
image restoration,1.000000
distributed environment,1.000000
covert channels,1.000000
model parameters,1.000000
word representations,1.000000
knowledge integration,1.000000
information flow,1.000000
on-chip interconnects,1.000000
information technology,1.000000
building secure,1.000000
multimedia documents,1.000000
security policy,1.000000
network architectures,1.000000
interconnection networks,1.000000
keyword-based retrieval,1.000000
compression technique,1.000000
data semantics,1.000000
virtual worlds,1.000000
non-rigid objects,1.000000
network technologies,1.000000
program verification,1.000000
quantum cryptography,1.000000
false data,1.000000
communication networks,1.000000
cluster analysis,1.000000
neural field,1.000000
data representation,1.000000
data replication,1.000000
evaluation criteria,1.000000
buffer overflow,1.000000
real-time systems,1.000000
knowledge discovery,1.000000
system design,1.000000
control systems,1.000000
sparse representation,1.000000
image tagging,1.000000
relational databases,1.000000
computational geometry,1.000000
classification models,1.000000
distributed real-time,1.000000
hierarchical memory,1.000000
peer-to-peer systems,1.000000
universal access,1.000000
finite element,1.000000
object classification,1.000000
still images,1.000000
query algebra,1.000000
incremental construction,1.000000
risk analysis,1.000000
information retrieval,1.000000
design problems,0.990566
power management,0.952286
system architectures,1.000000
statistical analysis,1.000000
knowledge repositories,1.000000
security issues,0.993671
related problems,0.824138
sixth edition,0.971429
optical networks,1.000000
parameter settings,1.000000
service-oriented architectures,1.000000
phrase structure,1.000000
resource allocation,1.000000
error reduction,1.000000
large databases,1.000000
location management,1.000000
online reputation,1.000000
feature detectors,1.000000
intellectual property,1.252101
continuous time,1.000000
planning agent,1.000000
face verification,1.000000
data streams,1.000000
ongoing development,1.000000
2.0 technologies,1.000000
information extraction,1.004587
independent component,1.000000
transfer function,1.039106
uniform random,1.000000
routing protocols,1.000000
arbitrary data,1.008803
temporal databases,1.003384
design techniques,1.023952
smart space,1.000000
stability analysis,1.021084
real-time scheduling,1.000000
storage systems,1.000000
similarity search,1.000000
structure visualization,1.000000
approximation schemes,0.952459
word alignment,1.000000
processing concepts,1.000000
performance issues,1.002625
portable devices,1.007353
information processing,0.918519
performance evaluation,1.046099
grid environment,1.000000
electronic commerce,0.986942
enhancing security,1.002304
virtual communities,1.000000
dynamic modeling,-137000.000000
efficient sets,-3520.000000
sequence alignment,-0.000004
control rules,1.000000
value iteration,1.000000
digital archives,1.000000
two levels,1.000000
neural representation,1.000000
physical design,1.000000
geometric modeling,1.000000
thermal management,1.000000
data classification,1.000000
disaster recovery,1.000000
critical business,1.000000
broadcast authentication,1.000000
wide area,1.000000
advanced techniques,1.000000
basic structures,1.000000
simulation techniques,1.000000
pervasive computing,1.000000
human interaction,1.000000
immersive visualization,1.000000
data quality,1.000000
new media,1.000000
coding theory,1.000000
interactive art,1.000000
service security,1.000000
wireless sensor,1.000000
mathematical logic,1.000000
general systems,1.000000
knowledge management,1.000000
large datasets,1.000000
heavy-tailed distributions,1.000000
success factors,1.000000
resource constraints,1.000000
scheduling data,1.000000
wireless technologies,1.000000
real-time data,0.952765
power control,0.997033
approximation results,1.000000
maximal independent,1.000000
fractal geometry,1.000000
level analysis,1.000000
packet forwarding,1.000000
clustering algorithm,1.025094
continuous services,1.000000
classification tasks,1.000000
eye tracking,0.979167
context awareness,1.006369
telecommunications systems,0.978378
large scale,1.000000
power consumption,0.748691
point models,1.000000
second edition,1.026178
algebraic specifications,1.000000
data communications,0.952030
information geometry,1.000000
knowledge processing,1.000000
stability conditions,1.000000
breast cancer,0.992462
fuzzy graphs,1.000000
geometric computing,1.000000
virtual teams,1.000000
decomposition methods,1.087191
top management,0.932253
temporal access,0.998597
communication systems,0.903727
performance prediction,1.000000
identity theft,1.000000
project management,1.000000
online collaboration,1.000000
key components,1.032051
statistical pattern,1.000000
wireless networking,1.000000
collaborative development,1.000000
mobile technology,0.969250
television series,0.976744
dynamic systems,1.055988
online research,1.000000
grid infrastructure,1.000000
failure detectors,1.000000
resource management,0.954128
social interaction,1.119171
processor allocation,1.000000
logic devices,1.000000
large-scale complex,1.000000
wireless systems,0.996063
random sample,-399000.000000
data placement,1.000000
control system,-5780000.000000
stress reduction,1.000000
microarray experiments,-41600.000000
evaluation metrics,1.000000
data retrieval,1.000000
security protection,1.000000
confidential information,1.000000
technical solutions,1.024793
evaluation methods,1.021164
collaborative filtering,1.000000
systems biology,0.960432
video surveillance,1.023981
wireless applications,1.000000
regression analysis,0.996942
mobility management,1.000000
hybrid systems,1.021505
online advertising,1.000000
time series,0.970513
design methodologies,1.000000
medical applications,1.003546
business flow,1.000000
mobile phones,1.000000
conditional entropy,1.000000
video streaming,1.000000
lower bounds,0.903000
food processing,1.000000
media streaming,1.000000
digital camera,0.994186
sign language,1.000000
business processes,1.003195
cellular networks,0.915033
technology management,1.000000
emerging applications,1.000000
planning systems,1.000000
theoretical problems,1.000000
new methods,1.046053
packet access,1.000000
autonomic systems,0.896552
young people,1.329457
radio frequency,0.889535
wireless communications,0.838889
payment system,1.054237
online courses,1.000000
representation system,1.000000
warehouse systems,1.000000
cognitive systems,1.000000
segmentation problem,1.000000
multidimensional scaling,1.000000
video communication,1.000000
random fields,1.000000
human factors,0.987234
architectural design,0.982906
video communications,1.000000
mining techniques,1.000000
auditory interfaces,1.000000
global convergence,-0.000014
interest management,1.000000
general linear,1.000000
mobile commerce,1.000000
correctness proof,1.000000
recent advances,1.000000
wireless channels,1.000000
finite point,1.000000
character animation,1.000000
mobile services,1.000000
active learning,1.000000
sentiment classification,1.000000
computer mediated,1.000000
differential equations,1.000000
trust management,1.000000
decision theory,1.000000
utility function,1.000000
dynamic adaptation,1.000000
physical properties,1.000000
game theory,1.000000
source localization,1.000000
legal requirements,1.000000
fast generation,1.000000
secondary use,1.000000
basic elements,1.000000
big number,1.000000
pervasive games,1.000000
heterogeneous networks,1.000000
multicast protocols,1.000000
parametric estimation,1.000000
correlation analysis,1.000000
analytical methods,1.000000
communication technologies,1.000000
business networks,1.000000
general overview,1.000000
effective methods,1.000000
design automation,1.000000
management commitment,1.000000
design issues,1.000000
criminal investigations,1.000000
basic theory,1.000000
knowledge transfer,1.000000
home environments,1.000000
clustering techniques,1.000000
matrix multiplication,1.000000
time synchronization,1.000000
service composition,1.000000
user mobility,1.000000
conceptual tools,1.000000
optimal designs,1.000000
proxy signatures,1.000000
optimal allocation,1.000000
core topics,1.000000
semiconductor devices,1.000000
multiple access,1.000000
social communities,1.000000
digital library,1.000000
daily living,1.000000
high-speed downlink,1.000000
mobile networks,1.000000
financial engineering,1.000000
statistical data,1.000000
wireless internet,1.000000
hierarchical models,1.000000
statistical modeling,1.000000
spatial knowledge,1.000000
digital libraries,1.000000
execution times,1.000000
balance control,1.000000
school education,1.000000
video transmission,1.000000
comparative study,1.000000
digital investigations,1.000000
programmable logic,0.936747
surveillance systems,1.000000
distance education,1.074627
critical issues,1.006479
continuity planning,1.020134
clustering algorithms,0.935860
group communication,1.000000
energy efficiency,1.000000
convex hull,0.971831
structural equation,1.000000
sparse reconstruction,0.996078
effective framework,0.964158
organizational systems,1.000000
mobile stations,1.000000
exact inference,1.000000
increasing numbers,1.000000
information fusion,1.000000
legal issues,0.937571
manufacturing systems,1.000000
key concepts,1.017370
parameter estimation,1.065574
wireless communication,1.025806
conceptual design,1.009709
stock markets,1.000000
online marketplaces,1.203670
body motion,1.000000
financial markets,0.992674
quality control,1.000000
digital government,1.000000
competitive advantage,1.000000
temporal reasoning,1.000000
body area,1.000000
integrated circuit,1.000000
higher education,1.000000
educational settings,1.000000
word segmentation,1.000000
large numbers,0.927681
developing countries,1.000000
new technologies,1.000000
empirical analysis,0.996774
first edition,1.000000
new aspects,1.000000
practical issues,1.000000
tactile sensors,1.000000
finite field,0.985185
mobile communications,1.000000
electronic systems,-738000.000000
patient monitoring,1.000000
home appliances,1.000000
older adults,1.000000
financial services,1.000000
different approaches,1.000000
robust estimation,1.000000
social impact,1.000000
intellectual capital,1.000000
comparative analysis,1.000000
public health,1.000000
statistical methods,1.000000
reliable wireless,1.000000
knowledge communication,1.000000
fundamental concepts,1.000000
mobile terminals,1.000000
heterogeneous data,1.000000
management science,1.000000
senior citizens,1.000000
human behavior,1.000000
market research,1.000000
energy constraints,1.000000
order statistics,1.000000
medical research,1.000000
small area,1.000000
partitioning techniques,1.000000
future trends,1.000000
population density,1.000000
one step,1.000000
selfish behavior,1.000000
modern society,1.000000
business partners,1.000000
innovation processes,1.000000
knowledge creation,1.000000
human capital,1.000000
innovative technology,1.000000
normal distribution,1.000000
new generation,1.000000
basic properties,1.000000
recent developments,1.000000
channel assignment,1.000000
automatic control,1.000000
electronic voting,1.000000
lattice theory,1.000000
business continuity,1.000000
biomedical imaging,1.000000
cultural heritage,1.000000
biological cells,1.000000
biological processes,1.000000
two phases,1.000000
statistical perspective,1.000000
spatial concepts,1.000000
projective geometry,1.000000
probability measures,1.000000
uniform distribution,1.000000
probability theory,1.000000
probability distributions,1.000000
clinical trials,1.000000
real-time synchronization,1.000000
collaborative approach,1.000000
learning difficulties,1.000000
human ear,1.000000
new roles,1.000000
social perspectives,0.949672
seamless connectivity,1.000000
linear regression,0.986034
space exploration,1.000000
metric space,1.098160
sensory input,1.000000
discovering communities,0.995798
cognitive aspects,1.000000
correlation coefficient,0.920530
convex polygons,1.075802
data warehouses,0.975610
stochastic processes,1.000000
nonlinear equations,1.000000
forensic investigation,0.982347
statistical estimation,0.988338
integer multiplication,1.000000
global warming,1.042296
qualitative analysis,1.037694
cognitive disabilities,1.000000
ant colonies,1.000000
statistical inference,1.000000
strategic alliances,0.980000
collision avoidance,1.000000
cognitive impairment,1.000000
