phrase,concordance_score,frequency,uniqueness,wiki_score,label
inclusive design,0.599779005524862,-0.9955632240571851,0.6903535530329548,-0.19999999999999996,False
exploiting parallelism,-0.9241393965150871,-0.9970421493714567,1.0,1.0,False
tacit knowledge,1.0,-0.9921123983238846,0.9551932789918489,-0.9,False
source code,-0.6215850638216804,-0.9861966970667981,0.9657948692303846,0.7,True
face recognition,-0.5341804788213629,-0.7890066551639142,0.7801170175526329,0.6000000000000001,True
fine-grain parallelism,-0.7509668508287293,-0.9995070248952428,1.0,0.8,False
granular computing,-0.3691770863623147,-0.9768301700764112,0.8890333550032505,0.5,False
knowledge-based systems,-0.6675874769797423,-0.9738723194478679,0.9843976596489472,0.7,False
deep learning,-0.8899324739103744,-0.7609070741927533,0.8894334150122518,0.8,True
elliptic curve,1.0,-0.9916194232191274,0.7143071460719108,-0.7,False
automata theory,-0.5008287292817679,-0.9955632240571851,0.9175876381457218,0.6000000000000001,False
training data,-0.6721562097933853,-0.9901404979048558,0.9717957693654049,0.7,True
software security,-0.9798166216057365,-0.9965491742666995,0.9775466319947992,1.0,True
network classifiers,-0.997525178149616,-1.0,0.9845476821523229,1.0,True
logarithm problem,-0.0005524861878453136,-0.9995070248952428,0.9723958593789068,0.0,False
software requirements,-0.9869127385290545,-0.9926053734286419,0.9512426864029604,1.0,True
requirements engineering,-0.6736514314414868,-0.966970667981267,0.9122868430264541,0.7,False
source software,-0.9091001460595669,-0.9955632240571851,0.9715457318597791,0.8999999999999999,False
expert systems,-0.6106454655706779,-0.9023909292580725,0.8766815022253338,0.6000000000000001,False
language model,-0.9894706411409482,-0.9995070248952428,0.9481922288343252,1.0,True
optimization problem,-0.7041668151844591,-0.9945772738476707,0.7556133420013003,0.8999999999999999,True
image processing,-0.8468615870810127,-0.9053487798866158,0.9069860479071861,0.8,True
public key,-0.7152328334648776,-0.9965491742666995,0.9635445316797522,0.7,True
biometric technologies,-0.6932426689332767,-1.0,0.9296394459168875,0.7,False
stopping rules,1.0,-0.997535124476214,0.5278791818772814,-0.6,False
object-oriented software,-0.8747193951730154,-0.990633473009613,0.9924488673300995,0.8,False
text summarization,-0.959415285451197,-0.9985210746857284,0.9825973896084415,0.8999999999999999,True
secret key,-0.4201390126537159,-0.9980280995809712,0.8416262439365905,0.5,False
user requirements,-0.9381563060261242,-0.9921123983238846,0.9495924388658299,0.8999999999999999,True
polygonal meshes,-0.700939226519337,-0.9955632240571851,1.0,0.6000000000000001,False
security model,-0.9624362772573197,-0.9980280995809712,0.9613442016302445,0.8999999999999999,False
integer programming,-0.5917880462079357,-0.9610549667241804,0.6532479871980796,0.8,False
polynomial time,-0.17306153553057724,-0.9802809958097116,0.24933740061009146,0.8,True
recursively enumerable,-0.7152328334648776,-0.9930983485333991,1.0,0.6000000000000001,False
software engineering,-0.8307981662160574,-0.9260537342864186,0.9459418912836925,0.7,True
visual programming,-0.9536854232672619,-0.9980280995809712,0.8352752912936943,1.0,False
enterprise applications,-0.9115032571946895,-0.9970421493714567,0.8867830174526179,0.8999999999999999,True
injection attacks,-0.15853445769118935,-0.9950702489524279,0.5279291893784068,0.5,False
secured connections,-0.5008287292817679,-0.9990140497904856,0.5685352802920438,0.8,False
reconfigurable computing,-0.8343462246777165,-0.9891545476953414,0.8890333550032505,0.8,True
support vector,-0.9195784735011254,-0.9911264481143702,0.7742161324198629,1.0,False
computer graphics,-0.8553049743883907,-0.9926053734286419,0.9089863479521929,0.8,True
autonomic computing,-0.33406998158379375,-0.9950702489524279,0.8890333550032505,0.30000000000000004,False
ad-hoc networks,-0.0005524861878453136,-0.9773231451811684,0.9334400160024006,-0.09999999999999998,False
application development,-0.9126583437624004,-0.9955632240571851,0.9634945241786268,0.8,True
software testing,-0.9821819939135091,-0.9837318215430121,0.9199379906986049,0.8999999999999999,True
simulated annealing,-0.4725112060877724,-0.9226029085531181,0.44581687253087954,0.8,False
software package,-0.9963742277601453,-0.9995070248952428,0.9409911486723008,0.8999999999999999,True
mandatory access,-0.33406998158379375,-0.9990140497904856,0.6718507776166425,0.5,False
combinatorial optimization,-0.5842081031307551,-0.9664776928765098,0.7832174826223934,0.6000000000000001,True
finite state,-0.5842081031307551,-0.9990140497904856,0.612991948792319,0.8,True
range images,-0.5180796342160412,-0.988168597485827,0.9354903235485323,0.3999999999999999,False
user interfaces,-0.9182777798104717,-0.9778161202859256,0.72435865379807,1.0,True
instant messaging,0.3329650092081029,-0.9945772738476707,0.5843876581487222,-0.09999999999999998,True
optimization problems,-0.8849117804312957,-0.9477446388957358,0.7509126368955343,0.8999999999999999,True
geographic information,-0.1434885556432518,-0.9871826472763126,0.7456118417762663,0.19999999999999996,False
functional programming,-0.9247269199949391,-0.9842247966477693,0.8203230484572686,0.8999999999999999,True
training samples,-0.836630591084538,-0.9965491742666995,0.8440266039905986,0.8,True
high-dimensional data,-0.7152328334648776,-0.9709144688193246,0.9934990248537281,0.5,True
parallel computing,-0.9360871212876718,-0.9645057924574809,0.6920538080712106,1.0,True
software tools,-0.9916434831445998,-0.9921123983238846,0.972445866880032,0.8,False
embedded systems,-0.573387879043482,-0.9556322405718511,0.7166074911236686,0.6000000000000001,True
mobile games,-0.9810939226519337,-0.9950702489524279,0.9632944941741262,0.8,True
search space,-0.8813205198039064,-0.9990140497904856,0.9659448917337599,0.7,False
search algorithm,-0.9095050968796202,-0.9955632240571851,0.7855678351752764,0.8999999999999999,True
logic programming,-0.5370806309552407,-0.9462657135814642,0.7581137170575587,0.5,True
stereo vision,-0.841926167754897,-0.9861966970667981,0.7007051057658651,0.8999999999999999,True
performance analysis,-0.9346476116694868,-0.43406457973872314,0.9409411411711757,0.19999999999999996,True
ubiquitous computing,0.11779243153329766,-0.969435543505053,-0.08121218182727408,0.7,True
generative model,-0.7152328334648776,-0.9980280995809712,0.9762464369655446,0.5,True
wearable computing,-0.6372677046710196,-0.9911264481143702,0.8890333550032505,0.5,False
learning algorithm,-0.9065072827724762,-0.9886615725905842,0.7541131169675452,0.8999999999999999,True
computer vision,-0.8990449737845807,-0.938871087010106,0.8901835275291294,0.7,True
number generator,-0.7904623437045653,-0.997535124476214,0.739810971645747,0.8,True
key infrastructure,-0.988903112788034,-0.9995070248952428,0.8347252087813173,0.8999999999999999,False
combinatorial problems,-0.8343462246777165,-0.9921123983238846,0.9676951542731409,0.6000000000000001,False
hardware/software co-design,-0.6675874769797423,-0.9950702489524279,1.0,0.3999999999999999,False
hardware/software codesign,-0.6675874769797423,-0.997535124476214,1.0,0.3999999999999999,False
grid computing,-0.8086910327241819,-0.9635198422479665,0.7007551132669902,0.8,False
speech recognition,-0.6008839779005526,-0.9733793443431107,0.7009051357703655,0.6000000000000001,True
computing systems,-0.7619290792630582,-0.9857037219620409,0.873431014652198,0.6000000000000001,True
data structures,-0.9347354082105395,-0.9822528962287405,0.8421263189478423,0.8,True
shared memory,-0.6372677046710196,-0.9876756223810698,0.8441766264939738,0.5,True
global optimization,-0.93757783039551,-0.884643825486813,0.740411061659249,0.8,True
information security,-0.9128590981075019,-0.9536603401528223,0.9826974046106915,0.6000000000000001,True
file systems,-0.7618424213307711,-0.9940842987429135,0.9703955593339002,0.5,True
internet security,-0.9647212456052235,-0.9955632240571851,0.9727459118867829,0.7,True
user experience,-0.8752076396765578,-0.9753512447621395,0.9625443816572485,0.6000000000000001,True
software quality,-0.9798166216057365,-0.9861966970667981,0.9728959343901586,0.7,True
least squares,-0.6898219766728054,-0.9359132363815628,0.4211131669750463,0.8999999999999999,True
software support,-0.9940088554523726,-0.9990140497904856,0.9850977646646999,0.7,False
algorithmic aspects,-0.87603591160221,-0.9921123983238846,0.860129019352903,0.7,False
markup languages,0.1995580110497237,-1.0,0.29034355153272995,0.19999999999999996,True
web access,-0.9952708470917965,-0.9995070248952428,0.9802470370555583,0.7,True
deductive databases,-0.7509668508287293,-0.9896475228000986,0.8257238585787867,0.6000000000000001,False
database systems,-0.7921542523685904,-0.9689425684002958,0.9460419062859429,0.5,True
micropayment systems,-0.0005524861878453136,-0.9995070248952428,0.9843976596489472,-0.30000000000000004,True
fitness function,-0.20066298342541433,-0.9995070248952428,0.8839825973896083,0.0,True
dynamic programming,-0.964471471737234,-0.9349272861720483,0.7817172575886384,0.8,True
vector machines,-0.921060773480663,-0.9743652945526251,0.6745011751762764,0.8999999999999999,True
agent-based systems,-0.9177255985267035,-0.9945772738476707,0.9843976596489472,0.6000000000000001,False
feature extraction,-0.6271611139014455,-0.9157012570865172,0.506976046406961,0.7,True
recognition techniques,-0.9668980497709779,-0.9990140497904856,0.7281092163824572,0.8999999999999999,False
web services,-0.6627257059098304,-0.8693615972393394,0.9918987848177228,0.19999999999999996,True
handheld devices,-0.1898461997909512,-0.9901404979048558,0.6384457668650299,0.19999999999999996,True
image annotation,-0.9889278630103213,-0.9886615725905842,0.8274241136170424,0.8,True
algorithmic techniques,-0.7509668508287293,-0.9995070248952428,0.8993849077361604,0.5,False
physical security,-0.9772822941331228,-0.9955632240571851,0.9216882532379858,0.7,True
cryptographic protocols,-0.861492997558782,-0.990633473009613,0.6985547832174825,0.8,True
medical image,-0.8232289748311847,-0.9921123983238846,0.956243436515477,0.5,False
concurrent programs,-0.8135013812154697,-0.9876756223810698,0.4411661749262388,1.0,True
optimization techniques,-0.859091071110319,-0.9847177717525265,0.6826023903585539,0.8,True
distributed computing,-0.9261972996129643,-0.9837318215430121,0.7481122168325247,0.8,True
wavelet denoising,-0.9682999728285482,-0.9965491742666995,1.0,0.6000000000000001,False
user behavior,-0.9480955691339504,-0.9871826472763126,0.8669300395059261,0.7,True
machine intelligence,-0.8908078479140383,-0.9970421493714567,0.8161224183627545,0.7,True
computer science,-0.6912799766526785,-0.9438008380576781,0.9624943741561234,0.30000000000000004,True
game interface,-0.9892990433351261,-1.0,0.9158373756063409,0.7,False
end user,-0.7509668508287293,-0.9995070248952428,0.9749962494374158,0.3999999999999999,True
virtual machine,-0.9436569827381109,-0.9926053734286419,0.8607791168675301,0.7,True
privacy protection,-0.6500339245904818,-0.9733793443431107,0.9456418462769416,0.30000000000000004,True
software systems,-0.8710094954481931,-0.9857037219620409,0.9768465269790472,0.5,True
intelligent agents,-0.8909524050889553,-0.9704214937145674,0.6785017752662899,0.8,False
admission control,-0.0005524861878453136,-0.9526743899433079,0.7698154723208481,-0.19999999999999996,False
mobile applications,-0.966800315706393,-0.950702489524279,0.9330899634945242,0.6000000000000001,True
secure data,-0.9235427641440747,-0.990633473009613,0.9285392808921338,0.6000000000000001,False
pattern recognition,-0.4250292985099615,-0.8752772984964259,0.7109066359953993,0.19999999999999996,True
game development,-0.965687185253997,-0.9995070248952428,0.9736960544081612,0.6000000000000001,True
key exchange,-0.9217928850559224,-0.9891545476953414,0.9191378706806022,0.6000000000000001,False
parallel programs,-0.8927418872289926,-0.9783090953906828,0.7758663799569936,0.7,True
virtual environment,-0.881421660630733,-0.9930983485333991,0.8791318697804671,0.6000000000000001,True
log files,-0.737801686536784,-0.9985210746857284,0.9332899934990249,0.3999999999999999,True
suffix trees,-0.33406998158379375,-0.9990140497904856,0.025803870580586974,0.8999999999999999,False
cellular automata,-0.7218810227418733,-0.9028839043628297,0.8150722608391261,0.3999999999999999,True
assistive technology,-0.0005524861878453136,-0.9955632240571851,0.9857978696804521,-0.4,True
static code,-0.9633482747836964,-1.0,0.8511776766514978,0.7,False
private key,-0.965370955011839,-0.9995070248952428,0.9517927689153374,0.6000000000000001,True
image classifiers,-0.9970459359205674,-0.9995070248952428,0.9812471870780617,0.6000000000000001,True
optimization technique,-0.9107324897522724,-0.9985210746857284,0.5909886482972446,0.8999999999999999,True
language processing,-0.8265900038545548,-0.9970421493714567,0.8976846526979045,0.5,True
conversational agents,-0.45534907081868414,-0.9916194232191274,0.9168375256288446,0.10000000000000009,False
register allocation,-0.6372677046710196,-0.9985210746857284,0.7024053608041207,0.5,False
web document,-0.9894367218079023,-1.0,0.9559933990098515,0.6000000000000001,False
microarray data,-0.25069060773480656,-0.9768301700764112,0.9934990248537281,-0.19999999999999996,False
key management,-0.9095910254682658,-0.9871826472763126,0.9613942091313696,0.5,True
encrypted data,-0.7342909760589318,-0.9792950456001972,0.3773566034905236,0.8999999999999999,True
security protocols,-0.9398795384382701,-0.9802809958097116,0.6836525478821822,0.8,True
dynamic program,-0.9919465972160765,-0.9990140497904856,0.8538280742111317,0.7,False
block ciphers,-0.965370955011839,-0.9901404979048558,0.9169375406310947,0.6000000000000001,True
reachability analysis,-0.7152328334648776,-0.9935913236381563,0.9687453117967695,0.30000000000000004,False
security controls,-0.9946601898559622,-0.9990140497904856,0.8518777816672503,0.7,True
complexity theory,-0.9659978675971698,-0.9950702489524279,0.6187428114217133,0.8999999999999999,False
web usage,-0.9894367218079023,-1.0,0.8448767315097265,0.7,False
computational cost,-0.799988894749993,-0.9995070248952428,0.5521328199229885,0.8,True
cryptographic schemes,-0.9545676474367211,-1.0,0.7047057058558783,0.8,False
hidden layers,-0.7702082447938802,-0.9995070248952428,0.5189278391758763,0.8,True
software developers,-0.9869127385290545,-0.9980280995809712,0.8333750062509377,0.7,True
context-aware security,-0.8410165745856354,-1.0,0.9850977646646999,0.3999999999999999,False
data mining,-0.9071857778023634,-0.8358392901158491,0.7854678201730261,0.5,True
optimization algorithms,-0.9623739083942257,-0.9783090953906828,0.4769215382307346,1.0,True
user interactions,-0.9878526215652556,-0.9980280995809712,0.7210081512226834,0.8,True
computer games,-0.8625949742877558,-0.97880207049544,0.9743961594239137,0.3999999999999999,True
memory access,-0.9341223791580943,-0.9995070248952428,0.9560934140121018,0.5,True
decentralized systems,-0.8676979742173112,-0.9980280995809712,0.9843976596489472,0.3999999999999999,True
mesh processing,-0.9470210542033747,-1.0,0.7637145571835775,0.7,False
parallel computers,-0.9722081496699044,-0.9837318215430121,0.7690653598039705,0.7,True
user data,-0.9779133584574293,-0.9985210746857284,0.9842976446466971,0.5,True
security architecture,-0.9849930160763695,-0.9950702489524279,0.8866830024503674,0.6000000000000001,True
distributed memory,-0.9315478476674447,-0.9945772738476707,0.8313246987048057,0.6000000000000001,True
multimedia applications,-0.7688338595106551,-0.9753512447621395,0.849177376606491,0.3999999999999999,True
automatic parallelization,-0.9589764466414655,-0.9970421493714567,0.8607791168675301,0.6000000000000001,False
knowledge representation,-0.8856566085847853,-0.9719004190288391,0.7614642196329451,0.6000000000000001,True
network topologies,-0.9867857954713923,-0.997535124476214,0.9845476821523229,0.5,True
spatiotemporal data,-0.5008287292817679,-0.9930983485333991,0.9934990248537281,0.0,True
practical algorithms,-0.9642748195098804,-0.9955632240571851,0.5569835475321296,0.8999999999999999,False
parallel algorithms,-0.9433113269641183,-0.9580971160956372,0.49672450867630147,0.8999999999999999,True
information privacy,-0.9985095054854498,-0.9965491742666995,0.9888983347502127,0.5,True
network computing,-0.9832060012453177,-0.997535124476214,0.8735810371555734,0.6000000000000001,False
wide web,-0.9602660953884317,-0.9985210746857284,0.9505925888883333,0.5,False
constraint programming,-0.9545676474367211,-0.9748582696573823,0.4195629344401661,1.0,True
context-aware applications,-0.6809281767955802,-0.9911264481143702,0.9597439615942391,0.19999999999999996,False
images using,-0.8665769070058963,-1.0,0.953793068960344,0.3999999999999999,False
computer interaction,-0.9136249735833106,-0.9995070248952428,0.797069560434065,0.6000000000000001,False
image data,-0.9077471339078592,-0.9832388464382549,0.9747462119317898,0.3999999999999999,False
computer systems,-0.8990449737845807,-0.9871826472763126,0.96884532679902,0.3999999999999999,True
theorem proving,0.24958563535911593,-0.9921123983238846,0.024203630544581856,0.19999999999999996,True
user profiles,-0.9911657092678643,-0.9945772738476707,0.858078711806771,0.6000000000000001,True
maturity model,-0.20066298342541433,-0.9960561991619423,0.4609191378706805,0.19999999999999996,False
embedded devices,-0.9858293618995403,-0.9970421493714567,0.6457468620293043,0.8,True
virtual environments,-0.8479103333421449,-0.960069016514666,0.6691503725558834,0.6000000000000001,True
optimization methods,-0.9881946177152022,-0.9926053734286419,0.7377106565984899,0.7,False
reverse engineering,-0.6225175451694789,-0.9842247966477693,0.7627644146621992,0.30000000000000004,True
machine translation,-0.9853482403097403,-0.9758442198668967,0.8116217432614892,0.6000000000000001,True
mobile computers,-0.9925288082083662,-0.9965491742666995,0.9393909086362955,0.5,False
component analysis,-0.737801686536784,-0.9807739709144688,0.8667800170025504,0.30000000000000004,False
case study,0.12232238053697775,-0.8353463150110919,0.9603440516077413,-0.8,True
write operations,-0.863097732901505,-1.0,0.904285642846427,0.3999999999999999,False
computational resources,-0.9206585413254116,-0.9990140497904856,0.5602340351052659,0.8,True
vehicular networks,-0.0005524861878453136,-0.8935173773724427,0.9334400160024006,-0.6,False
version 2.0,-0.6479688007799804,-0.9990140497904856,0.985447817172576,0.10000000000000009,False
ambient intelligence,-0.22648369274639102,-0.9659847177717525,0.42986447967195085,0.19999999999999996,True
local minima,-0.9538347761778396,-0.997535124476214,0.98819822973446,0.3999999999999999,True
external memory,-0.8581689029202841,-0.9965491742666995,0.8901835275291294,0.3999999999999999,False
mobile computing,-0.9582241515390687,-0.969435543505053,0.8623793569035356,0.5,False
scientific computing,-0.8816360188010225,-0.9802809958097116,0.7926188928339251,0.5,True
agent software,-0.9900491437990293,-1.0,0.9204380657098568,0.5,False
congestion control,0.1995580110497237,-0.9684495932955386,0.39695954393158983,-0.19999999999999996,False
networks using,-0.8957836580401279,-1.0,0.92153823073461,0.3999999999999999,False
cross site,-0.9177255985267035,-1.0,0.9433415012251838,0.3999999999999999,False
approximation algorithm,-0.7787599754450583,-0.9911264481143702,0.18977846677001553,1.0,False
key agreement,-0.9278938148497508,-0.9891545476953414,0.9362404360654097,0.3999999999999999,False
scheduling problems,-0.9354949732814056,-0.9792950456001972,0.6325448817322599,0.7,False
optimization algorithm,-0.8849117804312957,-0.9699285186098102,0.5707856178426765,0.7,True
computational time,-0.9608817568505511,-0.9990140497904856,0.5740861129169375,0.8,False
number generators,-0.7904623437045653,-0.9995070248952428,0.5027254088113218,0.7,True
equality constraints,-0.5564149785144261,-0.9930983485333991,0.36145421813272005,0.6000000000000001,False
multi-core systems,-0.7787599754450583,-0.9940842987429135,0.9843976596489472,0.19999999999999996,False
formal methods,-0.9085683262542714,-0.9684495932955386,0.7841176176426463,0.5,True
background subtraction,-0.9283375188347565,-0.9861966970667981,0.920888133219983,0.3999999999999999,False
signal analysis,-0.9585282708357823,-0.9935913236381563,0.8496274441166176,0.5,True
image classification,-0.9889278630103213,-0.9142223317722455,0.7966695004250637,0.5,True
feature vectors,-0.8798258831408002,-0.9980280995809712,0.36875531329699474,0.8999999999999999,True
game world,-0.9892990433351261,-1.0,0.9788968345251787,0.3999999999999999,False
translation system,-0.8833929151771206,-0.9995070248952428,0.8624793719057857,0.3999999999999999,False
peer-to-peer computing,-0.7152328334648776,-0.9990140497904856,0.8890333550032505,0.19999999999999996,False
input data,-0.7535455943498319,-0.9965491742666995,0.9216382457368606,0.19999999999999996,True
text processing,-0.9385704419889502,-0.9995070248952428,0.9083362504375656,0.3999999999999999,True
computational methods,-0.9809933646131208,-0.9797880207049544,0.5310296544481672,0.8,True
dictionary attack,-0.8191863385233551,-0.9990140497904856,0.7877181577236585,0.3999999999999999,True
sensor networks,-0.33406998158379375,-0.7880207049543998,0.6897034555183279,-0.19999999999999996,True
computational analysis,-0.9910491684944057,-0.9871826472763126,0.5452817922688404,0.8,True
information theory,-0.9829367041440047,-0.9659847177717525,0.9151872780917139,0.3999999999999999,True
runtime systems,-0.9647212456052235,-0.9995070248952428,0.5304295644346653,0.8,False
attribute values,-0.9640474728872519,-0.9960561991619423,0.7233084962744412,0.6000000000000001,False
approximation algorithms,-0.7787599754450583,-0.9561252156766084,0.09591438715807366,1.0,True
optimization models,-0.9881946177152022,-0.9901404979048558,0.7370105515827374,0.6000000000000001,False
knowledge bases,-0.9703187420314492,-0.9871826472763126,0.6110916637495625,0.7,False
runtime performance,-0.9647212456052235,-1.0,0.518227734160124,0.8,False
service attacks,-0.972312095075321,-0.9896475228000986,0.8126719007851178,0.5,False
step size,-0.8899324739103744,-0.9985210746857284,0.9367405110766616,0.30000000000000004,False
transaction processing,-0.8135013812154697,-0.9935913236381563,0.7536630494574184,0.3999999999999999,True
kernel methods,-0.9470210542033747,-0.9871826472763126,0.7792668900335051,0.5,False
tree structures,-0.9392151278692259,-0.9970421493714567,0.7802170325548834,0.5,True
software fault,-0.998739600067918,-1.0,0.7402110316547483,0.6000000000000001,False
association rules,0.07265867133809478,-0.9546462903623367,0.9228384257638644,-0.7,False
image analysis,-0.9605146078244595,-0.9487305891052502,0.9499924988748312,0.30000000000000004,True
particle swarm,-0.5246514075243358,-0.9871826472763126,0.645346802020303,0.19999999999999996,False
hash functions,-0.5463083877448519,-0.9960561991619423,0.4644196629494426,0.3999999999999999,True
software metrics,-0.9940088554523726,-0.990633473009613,0.4028604290643598,0.8999999999999999,False
private information,-0.5722967640094713,-0.9876756223810698,0.977796669500425,-0.09999999999999998,True
chosen plaintext,-0.9101456554495229,-0.9985210746857284,0.8240736110416562,0.3999999999999999,False
network model,-0.9581474416627956,-0.9886615725905842,0.9607941191178675,0.30000000000000004,False
object-oriented analysis,-0.9589764466414655,-0.9960561991619423,0.9687453117967695,0.30000000000000004,False
malicious code,-0.8957836580401279,-0.9955632240571851,0.3046957043556533,0.8999999999999999,True
model checking,-0.9593185576393073,-0.9423219127434065,0.8145721858278743,0.3999999999999999,True
network architecture,-0.9832060012453177,-0.9901404979048558,0.8861329199379906,0.3999999999999999,True
computational systems,-0.9508259529692662,-0.997535124476214,0.5609341401210182,0.7,False
evolutionary algorithms,-0.7702082447938802,-0.8876016761153562,0.1702755413311996,0.8,True
transitive closure,-0.33406998158379375,-0.9970421493714567,0.6415462319347902,0.0,False
active contours,-0.9680288571298115,-0.9753512447621395,0.9523428514277141,0.30000000000000004,False
input space,-0.9907899982912798,-0.9985210746857284,0.8960844126618994,0.3999999999999999,False
digital images,-0.9936381627772739,-0.9511954646290363,0.9474921238185727,0.30000000000000004,True
knowledge base,-0.7163323416914578,-0.9940842987429135,0.9058358753813072,0.10000000000000009,False
multimodal biometrics,-0.9101456554495229,-0.9955632240571851,1.0,0.19999999999999996,False
computational complexity,-0.7094866598184292,-0.9753512447621395,0.27769165374806226,0.7,True
signature schemes,-0.5722967640094713,-0.9960561991619423,0.5606340951142672,0.30000000000000004,False
privacy enhancing,-0.9659978675971698,-0.9995070248952428,0.5560834125118768,0.7,False
robot path,-0.9610828729281768,-1.0,0.6509976496474472,0.6000000000000001,False
data access,-0.9910869249545358,-0.9970421493714567,0.9773466019902985,0.30000000000000004,True
management support,-0.9939325531198637,-0.9995070248952428,0.9824473671050657,0.30000000000000004,False
computational models,-0.970937560731836,-0.9709144688193246,0.530329549432415,0.7,True
security breaches,-0.9978825811158264,-0.9990140497904856,0.9850977646646999,0.30000000000000004,True
sensitivity analysis,-0.1434885556432518,-0.9171801824007888,0.6458468770315549,-0.30000000000000004,False
object recognition,-0.8336818471968479,-0.9526743899433079,0.7712656898534782,0.30000000000000004,True
computational efficiency,-0.9307143452066965,-0.9960561991619423,0.4110116517477622,0.8,True
smart cards,-0.8105235464351487,-0.9704214937145674,0.8574286142921439,0.19999999999999996,True
parallel scheduling,-0.9938807666992441,-0.9980280995809712,0.46787018052707907,0.8,False
autonomous agents,-0.7787599754450583,-0.97880207049544,0.3240486072910935,0.7,False
missing data,-0.056138735420503405,-0.9605619916194232,0.8812321848277243,-0.6,False
data storage,-0.9898346690268913,-0.9965491742666995,0.9438415762364356,0.30000000000000004,True
ensemble methods,-0.6675874769797423,-0.9921123983238846,0.5111266690003502,0.3999999999999999,False
usability engineering,-0.8698849741871207,-0.997535124476214,0.4175626343951593,0.7,False
video games,-0.8539649008774781,-0.97880207049544,0.98219732959944,0.10000000000000009,True
object management,-0.9851599128348485,-0.9980280995809712,0.9323398509776466,0.30000000000000004,False
rapid prototyping,-0.7787599754450583,-0.9827458713334977,0.8095714357153574,0.19999999999999996,False
decision support,-0.7724072612470403,-0.9161942321912744,0.9362904435665351,0.0,False
configuration management,-0.8410165745856354,-0.9940842987429135,0.8822823423513526,0.19999999999999996,True
activation functions,-0.7787599754450583,-0.9995070248952428,0.623993599039856,0.3999999999999999,False
network function,-0.997525178149616,-1.0,0.9419412911936791,0.30000000000000004,False
error detection,-0.9202522462190971,-0.9921123983238846,0.7521628244236636,0.3999999999999999,True
terrorist networks,0.1995580110497237,-0.9990140497904856,0.6386457968695305,-0.6,False
social networks,-0.9226302675766439,-0.7441459206310082,0.9055858378756814,0.0,True
logic programs,-0.9431019296981343,-0.9334483608577767,0.8129719457918687,0.30000000000000004,False
stream processing,-0.9010497237569061,-0.9837318215430121,0.8210731609741462,0.30000000000000004,True
