phrase,frequency,concordance_score,uniqueness,wiki_score,popularity,purity,suggested_query_score,computer science,python,machine learning,artificial intelligence,ai,deep learning,algorithms,code,architecture,api,software,framework,computer security,computer system,computer systems,label
operating systems,30,35.0,0.960475,0.95,0.004863636363636363,0.9906542056074766,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
unsupervised learning,56,33.33333333333333,0.983275,0.9,0.0003647058823529412,0.9901840490797545,2.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
triangular mesh,2,50.0,0.919,0.8,1.922727272727273e-05,1.026829268292683,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
signal processing,100,36.17021276595745,0.9033249999999999,0.9,0.008773584905660377,0.9783783783783784,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
multi-agent systems,278,12.76595744680851,0.9922,1.0,0.00027522935779816516,0.9483333333333334,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
artificial intelligence,330,30.88235294117647,0.788925,0.95,0.029347826086956522,0.9730586370839936,2.6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,True
triangular meshes,10,16.666666666666664,1.0,0.95,1.6283185840707965e-05,1.0221606648199446,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
access control,126,35.12544802867383,0.983625,0.75,0.0019468599033816425,1.2115942028985507,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
biometric systems,17,30.76923076923077,0.9922,0.9,3.252212389380531e-05,0.5923076923076923,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software development,101,12.056737588652481,0.990675,0.95,0.015570776255707762,0.6077844311377245,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
satisfiability problems,4,33.33333333333333,0.98385,0.8,2.2e-05,0.5915678524374176,0.29999999999999993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
receptive fields,6,100.0,0.950175,0.15,3.76e-05,0.9707259953161592,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
discrete-event simulation,11,50.0,0.8921,0.7,4.8305084745762714e-05,0.9467455621301775,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
pseudo-random number,1,33.33333333333333,0.9964500000000001,0.8,5.7547169811320756e-05,1.0,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
minimization problem,1,28.57142857142857,0.9862,0.7,8.325991189427313e-05,1.0098522167487685,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
security requirements,16,8.695652173913043,0.97195,0.9,0.00021141552511415526,0.9956709956709957,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
side-channel attacks,10,50.0,0.90875,0.65,3.243243243243243e-05,0.9383202099737533,0.6000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
supervised learning,20,50.0,0.64665,0.95,0.0008493150684931507,0.8855721393034826,1.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,True
discrete-event systems,33,50.0,0.9922,0.6,3.958333333333333e-05,1.0748538011695907,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
inclusive design,10,80.0,0.8452,0.35,1.8853211009174313e-05,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
exploiting parallelism,7,3.8461538461538463,1.0,0.95,1.0714285714285714e-05,0.9875,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
tacit knowledge,17,100.0,0.9776,0.05,6.460176991150442e-05,1.5612903225806452,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
source code,29,18.96551724137931,0.9829,0.85,0.002445945945945946,0.8427876823338736,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
face recognition,429,23.333333333333332,0.890075,0.7,0.0004798206278026906,0.9906542056074766,1.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
fine-grain parallelism,2,12.5,1.0,0.9,6.589861751152074e-06,0.9012345679012346,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
granular computing,48,31.57894736842105,0.9445250000000001,0.75,2.9952830188679246e-05,1.0062794348508635,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
knowledge-based systems,54,16.666666666666664,0.9922,0.8,0.00024953703703703705,1.6596558317399617,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
deep learning,486,5.555555555555555,0.944725,0.9,0.0068202764976958525,0.9932885906040269,5.1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,True
elliptic curve,18,100.0,0.857175,0.2,9.6875e-05,1.028436018957346,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
automata theory,10,25.0,0.9588,0.8,0.00015594713656387667,1.0057142857142858,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
training data,21,16.43835616438356,0.9859,0.75,0.0033938053097345134,1.0065217391304349,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
software security,8,1.0638297872340425,0.988775,1.0,0.0001511520737327189,1.0885245901639344,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
network classifiers,1,0.17889087656529518,0.992275,0.95,2.0921658986175116e-05,0.610079575596817,1.7000000000000002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
logarithm problem,2,50.0,0.9862,0.5,2.4678899082568808e-05,1.1029126213592233,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software requirements,16,0.7092198581560284,0.975625,1.0,0.0005251141552511415,1.5666666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
requirements engineering,68,16.363636363636363,0.95615,0.85,0.00019396984924623114,1.0026525198938991,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
source software,10,4.597701149425287,0.9857750000000001,0.95,0.0010849056603773584,1.0,1.7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,False
expert systems,199,19.51219512195122,0.93835,0.8,0.0009691629955947136,0.9380530973451328,2.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False
language model,2,0.5813953488372093,0.9741,0.95,0.00011170731707317073,1.0186046511627906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
optimization problem,12,14.838709677419354,0.8778250000000001,1.0,0.0016091370558375634,1.0063492063492063,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
image processing,193,7.707910750507099,0.9535,0.85,0.005229357798165138,1.0,2.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True
public key,8,14.285714285714285,0.9817750000000001,0.85,0.0007699530516431925,1.0493827160493827,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
biometric technologies,1,15.384615384615385,0.964825,0.85,2.31651376146789e-05,0.9790419161676647,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stopping rules,6,100.0,0.763975,0.2,8.62559241706161e-06,1.043956043956044,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
object-oriented software,20,6.315789473684211,0.996225,0.9,0.00019691629955947135,1.662162162162162,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
text summarization,4,2.083333333333333,0.9913000000000001,0.9,4.49537037037037e-05,0.8950980392156863,3.8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,True
secret key,5,29.03225806451613,0.920825,0.8,0.0001857777777777778,0.5776,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
user requirements,17,3.145695364238411,0.9748,0.95,0.000271889400921659,1.006779661016949,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
polygonal meshes,10,15.0,1.0,0.85,9.383259911894273e-06,1.1783783783783783,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
security model,5,1.932367149758454,0.980675,0.95,8.243243243243243e-05,1.005050505050505,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
integer programming,80,20.454545454545457,0.82665,0.9,0.000183710407239819,1.0,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
polynomial time,41,41.37931034482759,0.624725,0.9,0.0007198275862068965,0.6021505376344086,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
recursively enumerable,15,14.285714285714285,1.0,0.9,2.660944206008584e-05,1.0350584307178632,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software engineering,151,8.51063829787234,0.972975,0.9,0.027924528301886794,0.9371428571428572,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
visual programming,5,2.3696682464454977,0.9176500000000001,1.0,7.963800904977376e-05,1.0514285714285714,1.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,False
enterprise applications,7,4.477611940298507,0.9434,0.95,0.0002117117117117117,0.6037267080745342,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
injection attacks,11,42.10526315789473,0.764,0.75,3.424778761061947e-05,0.9872122762148338,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
secured connections,3,25.0,0.7843,0.9,4.334975369458128e-07,1.0222222222222221,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
reconfigurable computing,23,8.333333333333332,0.9445250000000001,0.9,4.615384615384615e-05,1.0196078431372548,1.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,True
support vector,19,4.074074074074074,0.8871249999999999,0.95,0.002183760683760684,1.0,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
computer graphics,16,7.285974499089254,0.9545,0.9,0.0030401785714285713,1.103125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
autonomic computing,11,33.33333333333333,0.9445250000000001,0.6,4.430379746835443e-05,0.9099099099099099,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
ad-hoc networks,47,50.0,0.9667250000000001,0.45,0.00028342245989304815,0.5815217391304348,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
application development,10,4.41988950276243,0.98175,0.95,0.002080357142857143,1.0240700218818382,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
software testing,34,0.9456264775413712,0.959975,1.0,0.0012689075630252101,0.9900662251655629,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
simulated annealing,158,26.41509433962264,0.72295,0.8,0.0003694690265486726,0.9939516129032258,2.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software package,2,0.2364066193853428,0.9705,0.95,0.0006919431279620854,1.6643835616438356,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
mandatory access,3,33.33333333333333,0.83595,0.75,1.9476190476190475e-05,0.8803191489361702,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
combinatorial optimization,69,20.833333333333336,0.891625,0.85,0.0003497674418604651,1.042386185243328,5.4,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,True
finite state,3,20.833333333333336,0.806525,0.95,0.00043425925925925923,0.9592711682743837,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
range images,25,24.137931034482758,0.96775,0.7,3.233333333333333e-05,0.9510086455331412,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
user interfaces,46,4.13907284768212,0.8622000000000001,1.0,0.0011455399061032865,0.8613445378151261,1.0999999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
instant messaging,12,66.66666666666666,0.792225,0.45,0.0002443396226415094,0.9595375722543352,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
geographic information,27,42.857142857142854,0.872825,0.65,0.004027906976744186,0.9923371647509579,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
functional programming,33,3.816793893129771,0.910175,0.95,0.0003565217391304348,0.8791615289765722,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
training samples,8,8.21917808219178,0.922025,0.85,0.00010698689956331878,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
high-dimensional data,60,14.285714285714285,0.99675,0.8,0.00018653846153846154,1.0173267326732673,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
parallel computing,73,3.2490974729241873,0.84605,1.0,0.00075,1.0178571428571428,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
software tools,17,0.4728132387706856,0.986225,0.95,0.0016414141414141414,0.5891238670694864,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
embedded systems,91,21.374045801526716,0.858325,0.8,0.0010830769230769231,0.6765188834154351,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
mobile games,11,1.0,0.98165,0.9,0.00022599118942731277,0.9323076923076923,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
search space,3,5.985915492957746,0.9829749999999999,0.8,0.0007,1.0125,1.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
search algorithm,10,4.577464788732395,0.8928,1.0,0.0008008849557522124,0.9595375722543352,2.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,True
logic programming,110,23.18840579710145,0.879075,0.65,0.00038373205741626794,1.016842105263158,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stereo vision,29,7.954545454545454,0.8503750000000001,0.95,6.798245614035087e-05,1.0254777070063694,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True
performance analysis,1149,3.3210332103321036,0.970475,0.45,0.0020966183574879227,1.683673469387755,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
ubiquitous computing,63,55.91397849462365,0.459475,0.85,0.0003975369458128079,1.101763907734057,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
generative model,5,14.285714285714285,0.9881249999999999,0.65,9.179487179487179e-05,1.0059171597633136,3.7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,True
wearable computing,19,18.181818181818183,0.9445250000000001,0.75,5.177664974619289e-05,0.9902912621359223,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
learning algorithm,24,4.7272727272727275,0.877075,0.95,0.0010299401197604791,0.975975975975976,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
computer vision,125,5.100182149362477,0.9451,0.85,0.005961538461538462,1.0,2.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
number generator,6,10.526315789473683,0.8699250000000001,0.9,0.00015534883720930232,1.7373417721518987,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
key infrastructure,2,0.6097560975609756,0.917375,0.9,9.402985074626866e-05,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
combinatorial problems,17,8.333333333333332,0.98385,0.8,7.3568281938326e-05,0.9942528735632183,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
hardware/software co-design,11,16.666666666666664,1.0,0.65,2.904109589041096e-05,0.9757281553398058,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
hardware/software codesign,6,16.666666666666664,1.0,0.55,4.626943005181347e-05,0.9852941176470589,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
grid computing,75,9.615384615384617,0.8504,0.9,0.00025841584158415844,1.0019607843137255,1.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,True
speech recognition,55,20.0,0.850475,0.75,0.0008193832599118942,0.9473684210526315,1.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
computing systems,30,11.952191235059761,0.936725,0.8,0.0017050691244239631,0.8302277432712215,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
data structures,37,3.316645807259074,0.9210750000000001,0.9,0.004013636363636363,1.6324435318275154,6.4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,True
shared memory,26,18.181818181818183,0.9220999999999999,0.75,0.0002898058252427184,0.9856687898089171,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
global optimization,235,3.1746031746031744,0.870225,0.85,0.00011138888888888888,1.0178571428571428,2.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
information security,95,4.409857328145266,0.99135,0.8,0.006460176991150443,1.072992700729927,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
file systems,13,11.956521739130435,0.9852000000000001,0.8,0.0002061032863849765,0.9272727272727272,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
internet security,10,1.8181818181818181,0.986375,0.85,0.000543778801843318,0.6,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True
user experience,51,6.291390728476822,0.981275,0.8,0.006894977168949772,1.0378787878787878,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software quality,29,1.0638297872340425,0.98645,0.85,0.0023405172413793105,0.9795918367346939,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
least squares,131,15.555555555555555,0.7106,0.95,0.0028617511520737326,1.0213903743315509,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software support,3,0.3546099290780142,0.99255,0.9,0.00037772727272727274,0.899581589958159,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
algorithmic aspects,17,6.25,0.930075,0.95,2.3846153846153846e-05,1.0883435582822085,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
markup languages,1,60.0,0.645225,0.55,4.02212389380531e-05,1.6721672167216721,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
web access,2,0.2915451895043732,0.9901249999999999,0.8,0.00010905172413793104,0.9455252918287937,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
deductive databases,22,12.5,0.912875,0.75,1.5982905982905983e-05,1.678191489361702,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
database systems,64,10.441767068273093,0.973025,0.7,0.0010225225225225225,1.1460176991150441,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
micropayment systems,2,50.0,0.9922,0.4,1.0896860986547085e-06,1.6680497925311204,-0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
fitness function,2,40.0,0.942,0.55,0.00010361990950226244,0.8700787401574803,1.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,True
dynamic programming,133,1.8306636155606408,0.8908750000000001,1.0,0.0010229357798165137,0.610079575596817,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
vector machines,53,4.0,0.837275,0.9,0.0008372093023255813,1.0055248618784531,2.9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,False
agent-based systems,12,4.166666666666666,0.9922,0.75,4.553846153846154e-05,1.050314465408805,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
feature extraction,172,18.68686868686869,0.753525,0.75,0.0010593607305936074,0.9107142857142857,3.7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,True
recognition techniques,3,1.7094017094017095,0.8640749999999999,0.85,6.121495327102803e-05,0.9844961240310077,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
web services,266,16.909620991253643,0.99595,0.7,0.0039241706161137445,0.9780077619663649,1.3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,True
handheld devices,21,40.54054054054054,0.81925,0.7,0.00012081218274111675,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
image annotation,24,0.6085192697768762,0.9137249999999999,0.9,3.950738916256158e-05,1.013550135501355,1.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,True
algorithmic techniques,2,12.5,0.9497,0.8,2.9292929292929294e-05,0.9902912621359223,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
physical security,10,1.1904761904761905,0.96085,0.8,0.00033160377358490564,0.9492455418381345,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
cryptographic protocols,20,6.976744186046512,0.8492999999999999,0.9,6.995073891625616e-05,1.0217391304347827,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
medical image,17,8.88888888888889,0.9781249999999999,0.8,0.0004395939086294416,0.8273878020713463,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
concurrent programs,26,9.375,0.720625,1.0,4.9753694581280786e-05,1.603960396039604,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
optimization techniques,32,7.096774193548387,0.841325,0.85,0.0003783251231527094,1.0052631578947369,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
distributed computing,34,3.7433155080213902,0.8740749999999999,0.95,0.0018853211009174312,1.0101522842639594,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
wavelet denoising,8,1.639344262295082,1.0,0.65,5.940860215053763e-06,0.9817351598173516,4.4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,False
user behavior,27,2.6490066225165565,0.933475,0.85,0.0001481818181818182,1.6647058823529413,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
machine intelligence,7,5.511811023622047,0.908075,0.85,0.001545045045045045,1.0048780487804878,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
computer science,115,15.482695810564662,0.98125,0.8,0.05954545454545455,1.036764705882353,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
game interface,1,0.5899705014749262,0.957925,0.8,1.4325581395348837e-05,0.9666666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
end user,2,12.5,0.9875,0.65,0.0030622222222222223,1.0309734513274336,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
virtual machine,16,2.8708133971291865,0.9304,0.85,0.0012429906542056075,0.9937106918238994,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True
privacy protection,55,17.543859649122805,0.972825,0.7,0.00014392523364485982,1.0033003300330032,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
software systems,30,6.501182033096926,0.9884250000000001,0.85,0.0017170731707317074,1.0144092219020173,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
intelligent agents,61,5.5045871559633035,0.839275,0.75,0.00015263157894736842,0.97953216374269,1.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
admission control,97,50.0,0.884925,0.4,6.768558951965065e-05,1.5521472392638036,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
mobile applications,101,1.7142857142857144,0.96655,0.75,0.00095822454308094,1.0027624309392265,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
secure data,20,3.875968992248062,0.964275,0.85,0.00010735930735930736,0.9959677419354839,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
pattern recognition,254,28.78787878787879,0.855475,0.7,0.004280172413793104,0.9377510040160643,1.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False
game development,2,1.7699115044247788,0.98685,0.8,0.0023564814814814815,0.9942084942084942,1.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,True
key exchange,23,3.9634146341463414,0.9595750000000001,0.8,9e-05,1.5909090909090908,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
parallel programs,45,5.415162454873646,0.88795,0.85,6.932773109243698e-05,1.0723684210526316,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
virtual environment,15,5.980861244019139,0.939575,0.8,0.00021050228310502282,1.1374407582938388,4.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True
log files,4,13.157894736842104,0.96665,0.7,0.00011890756302521008,0.8831615120274914,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
suffix trees,3,33.33333333333333,0.512975,0.9,1.67420814479638e-05,1.0773638968481376,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
cellular automata,198,13.953488372093023,0.9075500000000001,0.7,0.00011598173515981735,1.0425531914893618,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
assistive technology,10,50.0,0.9929,0.25,0.00021598173515981734,0.6121134020618557,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
static code,1,1.8867924528301887,0.9256,0.8,3.935779816513762e-05,1.01131221719457,1.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
private key,2,1.7857142857142856,0.9759,0.8,0.00010082872928176795,1.0456989247311828,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
image classifiers,2,0.2028397565922921,0.990625,0.85,5.433789954337899e-06,1.0078740157480315,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
optimization technique,4,4.516129032258064,0.795525,0.9,9.309392265193371e-05,1.0,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
