phrase,label
financial applications,False
external networks,False
information modeling,False
video content,False
soft computing,False
mining algorithms,False
classification problems,True
nonlinear programming,True
computational modeling,True
classification accuracy,True
random number,False
static program,False
markup language,True
generic algorithms,False
genetic programming,True
model-based design,False
multivariate techniques,False
content distribution,False
adaptive web,False
dynamical systems,False
mobile environments,False
feature representation,False
adaptive hypermedia,False
reconstruction error,False
digital environment,False
balanced binary,False
dialogue systems,False
security architectures,False
information assurance,False
program transformation,False
text classification,True
memory architectures,True
feature matching,False
virtual memory,True
formal verification,False
compression codes,False
smart phones,False
learning systems,False
data sets,False
location information,False
game loop,False
automatic classification,False
social networking,True
bilinear pairings,False
interaction techniques,False
data centers,True
electron microscopy,False
interactive computer,False
systems management,False
speech signal,False
formal requirements,False
coding techniques,False
content information,False
digital signatures,True
sequence learning,False
life cycle,False
discrete time,False
network capabilities,True
language generation,False
location-based service,True
web intelligence,False
basic data,False
security risk,False
data points,False
interactive systems,False
image description,False
image translation,False
word sequence,False
logic design,False
information visualization,False
semiconductor manufacturing,False
wireless security,True
object tracking,True
workflow management,False
drug design,False
sequential data,False
application domains,False
network structure,True
color models,False
language understanding,False
input devices,False
energy minimization,False
data analysis,False
network performance,True
casual users,False
binary decision,False
virtual computing,False
electronic signatures,True
medical imaging,False
location-based services,True
digital rights,False
database machine,False
numerical solution,False
multiple solutions,False
represent data,False
vision systems,False
existing approaches,False
spatial databases,False
dynamic reconfiguration,False
communication protocols,False
binary images,False
network complexity,False
speech processing,True
accessible design,False
multidimensional databases,False
security policies,False
availability constraints,False
single sign-on,True
third party,False
image search,False
management tools,False
mobile agents,False
action selection,False
internet usage,False
real-time tasks,False
mobile systems,False
educational games,False
resource discovery,False
control problem,False
decision making,False
ray tracing,False
numerical integration,False
image restoration,False
distributed environment,False
covert channels,False
model parameters,False
word representations,False
knowledge integration,False
information flow,False
on-chip interconnects,False
information technology,True
building secure,False
multimedia documents,False
security policy,False
network architectures,True
interconnection networks,False
keyword-based retrieval,False
compression technique,False
data semantics,False
virtual worlds,False
non-rigid objects,False
network technologies,False
program verification,True
quantum cryptography,True
false data,False
communication networks,True
cluster analysis,True
neural field,False
data representation,False
data replication,False
evaluation criteria,False
buffer overflow,True
real-time systems,True
knowledge discovery,False
system design,False
control systems,False
sparse representation,True
image tagging,False
relational databases,True
computational geometry,True
classification models,True
distributed real-time,False
hierarchical memory,False
peer-to-peer systems,True
universal access,False
finite element,False
object classification,True
still images,False
query algebra,False
incremental construction,False
risk analysis,False
information retrieval,False
design problems,False
power management,False
system architectures,False
statistical analysis,False
knowledge repositories,False
security issues,False
related problems,False
sixth edition,False
optical networks,False
parameter settings,False
service-oriented architectures,False
phrase structure,False
resource allocation,False
error reduction,False
large databases,False
location management,False
online reputation,False
feature detectors,False
intellectual property,False
continuous time,False
planning agent,False
face verification,False
data streams,False
ongoing development,False
2.0 technologies,False
information extraction,False
independent component,False
transfer function,False
uniform random,False
routing protocols,False
arbitrary data,False
temporal databases,False
design techniques,False
smart space,False
stability analysis,False
real-time scheduling,False
storage systems,False
similarity search,False
structure visualization,False
approximation schemes,False
word alignment,False
processing concepts,False
performance issues,False
portable devices,False
information processing,True
performance evaluation,False
grid environment,False
electronic commerce,False
enhancing security,False
virtual communities,False
dynamic modeling,False
efficient sets,False
sequence alignment,False
control rules,False
value iteration,False
digital archives,False
two levels,False
neural representation,False
physical design,False
geometric modeling,False
thermal management,False
data classification,True
disaster recovery,False
critical business,False
broadcast authentication,False
wide area,False
advanced techniques,False
basic structures,False
simulation techniques,True
pervasive computing,False
human interaction,False
immersive visualization,False
data quality,False
new media,False
coding theory,True
interactive art,False
service security,False
wireless sensor,False
mathematical logic,False
general systems,False
knowledge management,False
large datasets,False
heavy-tailed distributions,False
success factors,False
resource constraints,False
scheduling data,False
wireless technologies,False
real-time data,True
power control,False
approximation results,False
maximal independent,False
fractal geometry,False
level analysis,False
packet forwarding,True
clustering algorithm,True
continuous services,False
classification tasks,False
eye tracking,False
context awareness,False
telecommunications systems,False
large scale,False
power consumption,False
point models,False
second edition,False
algebraic specifications,False
data communications,True
information geometry,True
knowledge processing,False
stability conditions,False
breast cancer,False
fuzzy graphs,False
geometric computing,False
virtual teams,False
decomposition methods,False
top management,False
temporal access,True
communication systems,False
performance prediction,False
identity theft,False
project management,False
online collaboration,False
key components,False
statistical pattern,False
wireless networking,True
collaborative development,False
mobile technology,False
television series,False
dynamic systems,False
online research,False
grid infrastructure,False
failure detectors,False
resource management,False
social interaction,False
processor allocation,False
logic devices,False
large-scale complex,False
wireless systems,True
random sample,False
data placement,False
control system,False
stress reduction,False
microarray experiments,False
evaluation metrics,False
data retrieval,False
security protection,False
confidential information,False
technical solutions,False
evaluation methods,False
collaborative filtering,False
systems biology,False
video surveillance,False
wireless applications,False
regression analysis,False
mobility management,False
hybrid systems,False
online advertising,False
time series,False
design methodologies,False
medical applications,False
business flow,False
mobile phones,False
conditional entropy,False
video streaming,False
lower bounds,False
food processing,False
media streaming,False
digital camera,False
sign language,False
business processes,False
cellular networks,False
technology management,False
emerging applications,False
planning systems,False
theoretical problems,False
new methods,False
packet access,False
autonomic systems,False
young people,False
radio frequency,False
wireless communications,True
payment system,False
online courses,False
representation system,False
warehouse systems,False
cognitive systems,False
segmentation problem,False
multidimensional scaling,False
video communication,False
random fields,False
human factors,False
architectural design,False
video communications,False
mining techniques,False
auditory interfaces,False
global convergence,False
interest management,False
general linear,False
mobile commerce,False
correctness proof,False
recent advances,False
wireless channels,True
finite point,False
character animation,False
mobile services,False
active learning,False
sentiment classification,False
computer mediated,False
differential equations,False
trust management,False
decision theory,False
utility function,False
dynamic adaptation,False
physical properties,False
game theory,False
source localization,False
legal requirements,False
fast generation,False
secondary use,False
basic elements,False
big number,False
pervasive games,False
heterogeneous networks,True
multicast protocols,True
parametric estimation,False
correlation analysis,False
analytical methods,False
communication technologies,True
business networks,False
general overview,False
effective methods,False
design automation,False
management commitment,False
design issues,False
criminal investigations,False
basic theory,False
knowledge transfer,False
home environments,False
clustering techniques,True
matrix multiplication,True
time synchronization,True
service composition,False
user mobility,False
conceptual tools,False
optimal designs,False
proxy signatures,False
optimal allocation,False
core topics,False
semiconductor devices,True
multiple access,False
social communities,False
digital library,False
daily living,False
high-speed downlink,False
mobile networks,True
financial engineering,False
statistical data,False
wireless internet,False
hierarchical models,False
statistical modeling,True
spatial knowledge,False
digital libraries,False
execution times,False
balance control,False
school education,False
video transmission,False
comparative study,False
digital investigations,False
programmable logic,False
surveillance systems,False
distance education,False
critical issues,False
continuity planning,False
clustering algorithms,True
group communication,False
energy efficiency,False
convex hull,False
structural equation,False
sparse reconstruction,False
effective framework,False
organizational systems,False
mobile stations,False
exact inference,False
increasing numbers,False
information fusion,False
legal issues,False
manufacturing systems,False
key concepts,False
parameter estimation,False
wireless communication,True
conceptual design,False
stock markets,False
online marketplaces,False
body motion,False
financial markets,False
quality control,False
digital government,False
competitive advantage,False
temporal reasoning,False
body area,False
integrated circuit,True
higher education,False
educational settings,False
word segmentation,False
large numbers,False
developing countries,False
new technologies,False
empirical analysis,False
first edition,False
new aspects,False
practical issues,False
tactile sensors,False
finite field,False
mobile communications,False
electronic systems,False
patient monitoring,False
home appliances,False
older adults,False
financial services,False
different approaches,False
robust estimation,False
social impact,False
intellectual capital,False
comparative analysis,False
public health,False
statistical methods,False
reliable wireless,False
knowledge communication,False
fundamental concepts,False
mobile terminals,False
heterogeneous data,False
management science,False
senior citizens,False
human behavior,False
market research,False
energy constraints,False
order statistics,False
medical research,False
small area,False
partitioning techniques,False
future trends,False
population density,False
one step,False
selfish behavior,False
modern society,False
business partners,False
innovation processes,False
knowledge creation,False
human capital,False
innovative technology,False
normal distribution,False
new generation,False
basic properties,False
recent developments,False
channel assignment,False
automatic control,False
electronic voting,False
lattice theory,False
business continuity,False
biomedical imaging,False
cultural heritage,False
biological cells,False
biological processes,False
two phases,False
statistical perspective,False
spatial concepts,False
projective geometry,False
probability measures,False
uniform distribution,False
probability theory,False
probability distributions,False
clinical trials,False
real-time synchronization,False
collaborative approach,False
learning difficulties,False
human ear,False
new roles,False
social perspectives,False
seamless connectivity,False
linear regression,True
space exploration,False
metric space,False
sensory input,False
discovering communities,False
cognitive aspects,False
correlation coefficient,False
convex polygons,False
data warehouses,True
stochastic processes,True
nonlinear equations,False
forensic investigation,False
statistical estimation,False
integer multiplication,False
global warming,False
qualitative analysis,False
cognitive disabilities,False
ant colonies,False
statistical inference,False
strategic alliances,False
collision avoidance,False
cognitive impairment,False
philosophy of mind,True
theory of mind,True
systems science,True
conformity,True
mathematical optimization,True
convex optimization,True
web services,True
web mapping,True
numerical analysis,True
structural analysis,True
software development process,True
method engineering,True
disaster recovery,True
backup,True
network theory,True
network analysis,True
identification,True
brand management,True
digital signal processing,True
video processing,True
cryptography law,True
digital rights management,True
holography,True
holographic data storage,True
artificial intelligence,True
fuzzy logic,True
ecosystems,True
forests,True
online services,True
online help,True
numerical analysis,True
approximation theory,True
web development,True
web services,True
transaction processing,True
transactional memory,True
computability theory,True
lambda calculus,True
remote sensing,True
satellite imagery,True
internationalization and localization,True
video game localization,True
theory of computation,True
computational complexity theory,True
authentication,True
email authentication,True
combinatorial optimization,True
network flow problem,True
computer architecture,True
interoperability,True
email hacking,True
panama papers,True
theory of computation,True
hypercomputation,True
mathematical optimization,True
combinatorial optimization,True
artificial intelligence,True
cognitive architecture,True
middleware,True
object request broker,True
signal processing,True
audio electronics,True
cryptography,True
kleptography,True
computational mathematics,True
automated theorem proving,True
computer security software,True
privacy software,True
brand management,True
brand valuation,True
software engineering,True
version control,True
robotics,True
biorobotics,True
robotics,True
robot control,True
structural bioinformatics,True
molecular modelling,True
data security,True
backup software,True
copy protection,True
digital watermarking,True
computer security,True
computer forensics,True
phylogenetics,True
computational phylogenetics,True
network performance,True
reverse proxy,True
fault tolerance,True
uninterruptible power supply,True
parallel computing,True
speculative execution,True
wireless networking,True
indoor positioning system,True
systems science,True
chaos theory,True
tablet computers,True
ipad,True
chaos theory,True
emergence,True
wireless networking,True
mobile web,True
interoperability,True
integration platform,True
online services,True
online analytical processing,True
computer networking,True
computer networks,True
combinatorial optimization,True
linear programming,True
computer graphics,True
raster graphics,True
computer security,True
information privacy,True
computer surveillance,True
edward snowden,True
algorithms,True
recursion,True
theoretical computer science,True
evolutionary computation,True
proxy servers,True
reverse proxy,True
interaction,True
chemical bonding,True
network service,True
usenet,True
character encoding,True
braille,True
logic programming,True
constraint programming,True
systems science,True
systems engineering,True
computational trust,True
authentication,True
group theory,True
representation theory,True
photogrammetry,True
aerial photography,True
computer vision,True
mathematical morphology,True
computer security,True
computer access control,True
bioinformatics,True
synthetic biology,True
enterprise architecture,True
enterprise application integration,True
pattern matching,True
regular expressions,True
assistive technology,True
telepresence,True
algorithms,True
pattern matching,True
network management,True
network performance,True
macos,True
ios,True
computational complexity theory,True
quantum complexity theory,True
cartography,True
indoor positioning system,True
omics,True
glycomics,True
formal methods,True
turing machine,True
software review,True
fagan inspection,True
rating,True
credit rating,True
artificial intelligence,True
robots,True
computer graphics,True
graphics hardware,True
cybercrime,True
cyberbullying,True
computer networking,True
network service,True
image processing,True
image compression,True
emergence,True
philosophy of mind,True
software development,True
software development process,True
web design,True
responsive web design,True
software engineering,True
software architecture,True
scientific classification,True
chemical classification,True
information geometry,True
statistical distance,True
wireless networking,True
wireless sensor network,True
computer vision,True
image processing,True
algorithms,True
computational number theory,True
formal methods,True
formal specification,True
machine learning,True
supervised learning,True
predicate logic,True
quantification,True
computational science,True
computational social science,True
unix,True
network socket,True
machine learning,True
ensemble learning,True
computational trust,True
public key infrastructure,True
computer vision,True
digital geometry,True
cloud computing,True
hadoop,True
information theory,True
data compression,True
group theory,True
geometric group theory,True
linux,True
linux distributions,True
audio electronics,True
audio mixing,True
computer networking,True
net neutrality,True
computational neuroscience,True
neural coding,True
computational science,True
computational chemistry,True
numerical analysis,True
interpolation,True
computational science,True
computational fluid dynamics,True
cybercrime,True
computer security,True
cryptography,True
security engineering,True
online services,True
internet television,True
taxonomy,True
morphology,True
access control,True
identification,True
cartography,True
web mapping,True
emergence,True
systems thinking,True
distributed computing,True
volunteer computing,True
digital rights management,True
copy protection,True
booting,True
bios,True
interoperability,True
backward compatibility,True
perl,True
raku,True
theoretical computer science,True
algorithms,True
cloud computing,True
cloud robotics,True
medical imaging,True
computational anatomy,True
spamming,True
web scraping,True
computational science,True
computational neuroscience,True
calculus of variations,True
geometric flow,True
algorithms,True
computational group theory,True
group theory,True
computational group theory,True
data modeling,True
formal methods,True
linear programming,True
polyhedra,True
cartography,True
topography,True
memory management,True
virtual memory,True
graph theory,True
matching,True
constraint programming,True
constraint logic programming,True
software testing,True
unit testing,True
software development,True
web development,True
network service,True
video on demand,True
computer forensics,True
computer surveillance,True
holism,True
systems thinking,True
information privacy,True
internet privacy,True
image compression,True
texture compression,True
computer data storage,True
computer memory,True
ecosystems,True
deserts,True
secure communication,True
transport layer security,True
computer programming,True
live coding,True
interpolation,True
multivariate interpolation,True
supercomputers,True
cray,True
cloud computing,True
nextcloud,True
semantic web,True
folksonomy,True
computer graphics,True
scientific visualization,True
radiology,True
interventional radiology,True
bioinformatics,True
neuroinformatics,True
cartography,True
collaborative mapping,True
digital humanities,True
computational archaeology,True
artificial intelligence,True
automated reasoning,True
bioinformatics,True
structural bioinformatics,True
javascript,True
adaptive web design,True
speech processing,True
speech synthesis,True
mac os,True
macos,True
machine learning,True
deep learning,True
online services,True
online chat,True
chaos theory,True
fractals,True
topography,True
landforms,True
history of cryptography,True
venona project,True
software development,True
computer programming,True
image processing,True
medical imaging,True
coding theory,True
data compression,True
data compression,True
image compression,True
computer programming,True
code refactoring,True
computational science,True
scientific visualization,True
perimeter security,True
access control,True
computational science,True
computer algebra,True
knowledge representation,True
belief revision,True
calculus of variations,True
optimal control,True
automated reasoning,True
type inference,True
network theory,True
combinatorial optimization,True
network architecture,True
network topology,True
cyborgs in fiction,True
bionicle,True
evolutionary algorithms,True
gene expression programming,True
medical imaging,True
magnetic resonance imaging,True
operating systems,True
supercomputer operating systems,True
theory of computation,True
computability theory,True
group theory,True
galois theory,True
information privacy,True
disclosure,True
bioinformatics,True
omics,True
data security,True
information governance,True
cloud storage,True
nextcloud,True
wikileaks,True
julian assange,True
network theory,True
network flow problem,True
numerical analysis,True
mesh generation,True
programming language theory,True
type theory,True
fuzzy logic,True
predicate logic,True
emergence,True
interaction,True
computational neuroscience,True
artificial intelligence,True
information privacy,True
privacy law,True
cartography,True
hydrography,True
compiler construction,True
program analysis,True
computer programming,True
programming languages,True
vector graphics,True
scalable vector graphics,True
distributed computing,True
cryptocurrencies,True
network management,True
routing,True
smart devices,True
smart cards,True
categorical logic,True
topos theory,True
internet safety,True
cyberbullying,True
signal processing,True
statistical signal processing,True
quantum computing,True
quantum cryptography,True
assistive technology,True
telehealth,True
calculus of variations,True
perturbation theory,True
systems thinking,True
quality management,True
digital signal processing,True
speech recognition,True
linux,True
linux kernel,True
network management,True
radio resource management,True
robot control,True
robot kinematics,True
taxonomy,True
folksonomy,True
maps,True
map series,True
computational geometry,True
convex hull algorithms,True
cartography,True
geographic information systems,True
smart devices,True
smart tv,True
programming language theory,True
compiler construction,True
audio electronics,True
digital audio,True
systems science,True
systems theory,True
holism,True
modularity,True
video processing,True
video compression,True
computer data storage,True
storage virtualization,True
quantum computing,True
quantum programming,True
digital signal processing,True
speech processing,True
software development process,True
agile software development,True
machine learning,True
genetic programming,True
robot control,True
robot navigation,True
cluster computing,True
hadoop,True
embedded systems,True
digital cameras,True
software development,True
software project management,True
assistive technology,True
remote control,True
computer architecture,True
central processing unit,True
stochastic optimization,True
stochastic control,True
personal computers,True
nettop,True
omics,True
proteomics,True
algorithms,True
algorithmic trading,True
computer vision,True
photogrammetry,True
concurrency control,True
transactional memory,True
computer memory,True
transactional memory,True
machine learning,True
cluster analysis,True
software documentation,True
literate programming,True
online services,True
web fiction,True
systems thinking,True
theory of constraints,True
coding theory,True
character encoding,True
authentication,True
identification,True
computer security software,True
antivirus software,True
machine learning,True
artificial neural networks,True
computational complexity theory,True
quantum computing,True
computer graphics,True
texture filtering,True
robotics,True
machine vision,True
transport layer security,True
public key infrastructure,True
wireless networking,True
packet radio,True
systems science,True
cybernetics,True
data security,True
electronic waste,True
smart devices,True
internet of things,True
computational mathematics,True
computational number theory,True
concurrent computing,True
denotational semantics,True
data mining,True
cluster analysis,True
information theory,True
coding theory,True
computer architecture,True
network architecture,True
computer graphics,True
digital geometry,True
cartography,True
maps,True
data security,True
data protection,True
temperature control,True
thermoregulation,True
concurrent computing,True
parallel computing,True
algorithmic art,True
cellular automata,True
digital forensics,True
computer forensics,True
identity management,True
identity management systems,True
firmware,True
bios,True
internet security,True
transport layer security,True
graph theory,True
graph operations,True
smartphones,True
iphone,True
method engineering,True
fagan inspection,True
backup,True
backup software,True
secure communication,True
cryptography,True
information theory,True
units of information,True
bioinformatics,True
phylogenetics,True
geolocation,True
tracking,True
web development,True
web syndication,True
omics,True
phenomics,True
functional groups,True
esters,True
artificial intelligence,True
robotics,True
data security,True
backup,True
smartphones,True
smartphone patent wars,True
identification,True
biometrics,True
digital rights management,True
digital watermarking,True
computational science,True
numerical analysis,True
computational physics,True
computational fluid dynamics,True
network service,True
web services,True
online services,True
instant messaging,True
theoretical computer science,True
quantum information science,True
anonymity,True
anonymous social media,True
cloud computing,True
serverless computing,True
identification,True
anonymity,True
concurrency control,True
transaction processing,True
artificial neural networks,True
neural network software,True
uncrewed spacecraft,True
cargo spacecraft,True
software engineering,True
software development,True
lexicography,True
terminology,True
identification,True
identifiers,True
robot control,True
robot locomotion,True
assistive technology,True
computer accessibility,True
computer graphics,True
shading,True
cryptocurrencies,True
ethereum,True
electronic waste,True
computer recycling,True
quantum information science,True
quantum information theory,True
philosophy of mind,True
philosophy of psychology,True
classes of computers,True
reconfigurable computing,True
computer data storage,True
cloud storage,True
computational statistics,True
variance reduction,True
computer graphics,True
graphics software,True
computational complexity theory,True
circuit complexity,True
image compression,True
jpeg,True
data modeling,True
identification,True
computer graphics,True
video game graphics,True
prisons,True
prison food,True
data security,True
computer access control,True
networking hardware,True
netgear,True
computer security,True
computer surveillance,True
formal methods,True
program analysis,True
artificial neural networks,True
deep learning,True
computer programming,True
debugging,True
ubiquitous computing,True
tracking,True
brand management,True
trademarks,True
signal processing,True
geometry processing,True
computer security software,True
computer forensics,True
security engineering,True
access control,True
national security agency,True
venona project,True
scientific visualization,True
flow visualization,True
computational statistics,True
data mining,True
assistive technology,True
hearing aids,True
machine learning,True
unsupervised learning,True
software quality,True
software testing,True
classes of computers,True
supercomputers,True
computer architecture,True
classes of computers,True
security engineering,True
secure communication,True
information privacy,True
medical privacy,True
classes of computers,True
embedded systems,True
internet fraud,True
fake news,True
robotics,True
cloud robotics,True
internet privacy,True
email hacking,True
robotics,True
laws of robotics,True
classes of computers,True
analog computers,True
coding theory,True
neural coding,True
digital signal processing,True
image processing,True
information theory,True
network performance,True
data compression,True
video compression,True
computer programming,True
source code,True
emergence,True
complex dynamics,True
graph theory,True
graph rewriting,True
computational science,True
cheminformatics,True
smart devices,True
smartphones,True
debian,True
dpkg,True
remote sensing,True
remote sensing software,True
control flow,True
recursion,True
model checking,True
temporal logic,True
artificial intelligence,True
affective computing,True
software development,True
video game development,True
reliability engineering,True
human reliability,True
smart devices,True
smart grid,True
enterprise architecture,True
business architecture,True
key management,True
public key infrastructure,True
graph theory,True
algebraic graph theory,True
computational mathematics,True
computer algebra,True
quantum information science,True
quantum computing,True
cartography,True
aerial photography,True
machine learning,True
support vector machines,True
web development,True
automattic,True
automated reasoning,True
automated theorem proving,True
ecosystems,True
systems ecology,True
computer architecture,True
computer data storage,True
graph theory,True
mathematical chemistry,True
wireless networking,True
bluetooth,True
computer networking,True
smart devices,True
artificial intelligence,True
knowledge representation,True
computational science,True
computational linguistics,True
software development,True
software release,True
computer networking,True
network management,True
resource description framework,True
rss,True
cryptography,True
key management,True
embedded systems,True
robotics,True
classes of computers,True
military computers,True
method engineering,True
configuration management,True
network architecture,True
local loop,True
missile guidance,True
global positioning system,True
booting,True
network booting,True
numerical linear algebra,True
domain decomposition methods,True
agile software development,True
extreme programming,True
functional groups,True
ketones,True
logic programming,True
inductive logic programming,True
identifiers,True
names,True
cryptography,True
disk encryption,True
mobile phones,True
smartphones,True
evolutionary algorithms,True
genetic programming,True
artificial intelligence,True
cloud robotics,True
computer architecture,True
operating systems,True
artificial intelligence,True
knowledge engineering,True
formal methods,True
z notation,True
robot control,True
robotic sensing,True
computational chemistry,True
molecular dynamics,True
information theory,True
quantum information theory,True
network performance,True
forward proxy,True
generic programming,True
metaprogramming,True
computer access control,True
federated identity,True
video game development,True
video game localization,True
digital photography,True
digital cameras,True
domain name system,True
domain names,True
computational statistics,True
artificial neural networks,True
web development,True
html,True
database theory,True
database normalization,True
ios,True
iphone,True
computational science,True
computational biology,True
software engineering,True
software testing,True
video game design,True
video game graphics,True
security engineering,True
computer security,True
operating systems,True
computer networking,True
computer access control,True
identity management,True
image processing,True
image segmentation,True
cryptography,True
history of cryptography,True
central processing unit,True
microprocessors,True
systems thinking,True
business continuity,True
declarative programming,True
constraint programming,True
theoretical computer science,True
graph theory,True
functional groups,True
isocyanates,True
computational science,True
artificial life,True
web development,True
web design,True
theoretical computer science,True
theory of computation,True
systems science,True
operations research,True
internationalization and localization,True
internationalized domain names,True
security engineering,True
prisons,True
theoretical computer science,True
quantum computing,True
phylogenetics,True
evolution of tetrapods,True
optical spectrum,True
green,True
computer networking,True
network booting,True
information governance,True
information architecture,True
theoretical computer science,True
computational learning theory,True
program analysis,True
incremental computing,True
machine learning,True
